article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
25713,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6b/%C2%B7.png/revision/latest?cb=20200426044637,"{""\n\n"": 1}",1
25713,1,Blueprint Particles,36,55,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
25713,1,-1 (⎊ Null class ⎊),135,154,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy#.E2.8E.8A_Null_class_.28-1.29_.E2.8E.8A,"{""-1 (⎊ Null class ⎊)"": 1}",1
25713,1,○s,182,184,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○s"": 1}",1
25713,1,⬤s,186,188,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤s"": 1}",1
25713,1,Protoparticles,201,215,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
25713,1,Xeyons,217,223,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyons"": 1}",1
25713,1,the Anti-Concepts,225,242,internal,https://alldimensions.fandom.com/wiki/The_Anti-Concept,"{""the Anti-Concepts"": 1}",1
25713,1,Axions,244,250,internal,https://alldimensions.fandom.com/wiki/Axion,"{""Axions"": 1}",1
25713,5,Xeyon,41,46,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
25713,5,○s,68,70,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○s"": 1}",1
25713,5,Anti-Concept,127,139,internal,https://alldimensions.fandom.com/wiki/The_Anti-Concept,"{""Anti-Concept"": 1}",1
25713,6,⬤,96,97,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
25713,7,⬤,243,244,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
25713,8,Blueprint Particle,71,89,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
25713,9,almost...,64,73,internal,https://alldimensions.fandom.com/wiki/The_Forcers,"{""almost..."": 1}",1
25713,10,Protorealities,4,18,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""Protorealities"": 1}",1
25713,10,⬤s,81,83,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤s"": 1}",1
25713,10,Protoparticles,150,164,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
25713,12,Inanes,33,39,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
25713,12,Blueprint Particles,66,85,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
25713,12,W.E.N.D,112,119,internal,https://alldimensions.fandom.com/wiki/W.E.N.D,"{""W.E.N.D"": 1}",1
25713,13,the Forcers,51,62,internal,https://alldimensions.fandom.com/wiki/The_Forcers,"{""the Forcers"": 1}",1
25713,14,⬤,59,60,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
25713,14,subrealities,147,159,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""subrealities"": 1}",1
25713,15,Nothing,88,95,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
25713,16,the Forcers,15,26,internal,https://alldimensions.fandom.com/wiki/The_Forcers,"{""the Forcers"": 1}",1
25713,16,W.E.N.D,125,132,internal,https://alldimensions.fandom.com/wiki/W.E.N.D,"{""W.E.N.D"": 1}",1
25713,18,Absolutely tinier particles,0,27,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Absolutely tinier particles"": 1}",1
25713,18,Zyoron,31,37,internal,https://alldimensions.fandom.com/wiki/Zyoron,"{""Zyoron"": 1}",1
25713,18,Anti-Concept,41,53,internal,https://alldimensions.fandom.com/wiki/The_Anti-Concept,"{""Anti-Concept"": 1}",1
25713,18,Xeyon,57,62,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
25713,18,Blueprint Particle,71,89,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
25713,18,Primordium Particles,93,113,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
