article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34898,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/31/Obama.png/revision/latest?cb=20200822053812,"{""\n\n"": 1}",1
34898,1,The Insane,24,34,internal,https://alldimensions.fandom.com/wiki/The_Insane,"{""The Insane"": 1}",1
34898,1,EUSI,60,64,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
34898,1,Finality Index,69,83,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
34898,1,FOEI,88,92,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
34898,1,Back to Reality,259,274,internal,https://alldimensions.fandom.com/wiki/Back_to_Reality,"{""Back to Reality"": 1}",1
34898,1,The Insane,24,34,internal,https://alldimensions.fandom.com/wiki/The_Insane,"{""The Insane"": 1}",1
34898,3,Insanes,135,142,internal,https://alldimensions.fandom.com/wiki/The_Insane,"{""Insanes"": 1}",1
34898,3,voidsecond,198,208,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""voidsecond"": 1}",1
34898,5,C A I,83,88,internal,https://alldimensions.fandom.com/wiki/Cantor%27s_Absolute_Infinity,"{""C A I"": 1}",1
34898,5,OYC,89,92,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
34898,5,Protoverse,229,239,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverse"": 1}",1
34898,6,OYC,10,13,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
