article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49423,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/03/Pictographverse.png/revision/latest?cb=20250422033709,"{""\n\n"": 1}",1
49423,1,EUSI,58,62,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
49423,1,Finality Index,67,81,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
49423,1,FOEI,88,92,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
49423,1,🌌🌌🌌,287,290,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""🌌🌌🌌"": 1}",1
49423,1,🌌s,303,305,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""🌌s"": 1}",1
49423,2,🌌,7,8,internal,https://alldimensions.fandom.com/wiki/Verse,"{""🌌"": 1}",1
49423,2,🌌🌌🌌,67,70,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""🌌🌌🌌"": 1}",1
49423,2,ours,74,78,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""ours"": 1}",1
49423,2,🌌,7,8,internal,https://alldimensions.fandom.com/wiki/Universe,"{""🌌"": 1}",1
49423,2,👽,315,316,internal,https://alldimensions.fandom.com/wiki/Category:Civilization,"{""👽"": 1}",1
49423,3,Translation,0,11,internal,https://alldimensions.fandom.com/wiki/%F0%9F%96%BC%EF%B8%8F%F0%9F%8C%8C/Translation,"{""Translation"": 1}",1
