article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43357,1,Alephiverse,4,15,internal,https://alldimensions.fandom.com/wiki/Alephiversal_Macroscopic_Verses_List#Alephiverse,"{""Alephiverse"": 1}",1
43357,1,Macroscopic,128,139,internal,https://alldimensions.fandom.com/wiki/Alephiversal_Macroscopic_Verses_List,"{""Macroscopic"": 1}",1
43357,1,Alephifinite Power,170,188,internal,https://alldimensions.fandom.com/wiki/Metafinities#Alephifinite_Power,"{""Alephifinite Power"": 1}",1
43357,2,EUSI,28,32,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43357,2,Finality Index,38,52,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43357,2,Alephion,226,234,anchor,https://alldimensions.fandom.com#Alephion,"{""Alephion"": 1}",1
43357,3,Alephion,231,239,anchor,https://alldimensions.fandom.com#Alephion,"{""Alephion"": 1}",1
43357,15,EUSI,29,33,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43357,15,Finality Index,39,53,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43357,15,Alephitom,233,242,anchor,https://alldimensions.fandom.com#Alephitom,"{""Alephitom"": 1}",1
43357,15,Alephi∅s,255,263,anchor,https://alldimensions.fandom.com#Alephi∅,"{""Alephi∅s"": 1}",1
43357,16,Alephitomic,23,34,anchor,https://alldimensions.fandom.com#Alephitom,"{""Alephitomic"": 1}",1
43357,16,Alephitoms,58,68,anchor,https://alldimensions.fandom.com#Alephitom,"{""Alephitoms"": 1}",1
43357,29,EUSI,31,35,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43357,29,Finality Index,42,56,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43357,29,Alephicule,259,269,anchor,https://alldimensions.fandom.com#Alephicule,"{""Alephicule"": 1}",1
43357,29,Alephions,286,295,anchor,https://alldimensions.fandom.com#Alephion,"{""Alephions"": 1}",1
43357,30,Alephions,50,59,anchor,https://alldimensions.fandom.com#Alephion,"{""Alephions"": 1}",1
43357,43,EUSI,35,39,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43357,43,Finality Index,49,63,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43357,43,Alephiplanet,258,270,internal,https://alldimensions.fandom.com/wiki/Alephiversal_Macroscopic_Verses_List#Alephiplanet,"{""Alephiplanet"": 1}",1
43357,43,Alephitoms,290,300,anchor,https://alldimensions.fandom.com#Alephitom,"{""Alephitoms"": 1}",1
43357,44,Alephitoms,85,95,anchor,https://alldimensions.fandom.com#Alephitom,"{""Alephitoms"": 1}",1
43357,44,Alephiverse,41,52,internal,https://alldimensions.fandom.com/wiki/Alephiversal_Macroscopic_Verses_List#Alephiverse,"{""Alephiverse"": 1}",1
