article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
3492,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/75/Multiverse0.png/revision/latest?cb=20160524133841,"{""\n\n"": 1}",1
3492,1,Boxes,52,57,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
3492,1,Outsides,69,77,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""Outsides"": 1}",1
3492,1,Verseallomnis,97,110,internal,https://alldimensions.fandom.com/wiki/Verseallomni,"{""Verseallomnis"": 1}",1
3492,1,Omniverses,112,122,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
3492,1,Pseudo-Omniverses,127,144,internal,https://alldimensions.fandom.com/wiki/Pseudo-Omniverses,"{""Pseudo-Omniverses"": 1}",1
3492,1,Omniverse,112,121,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
3492,1,Omniverses,112,122,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
3492,1,Boxes,52,57,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
3492,1,Omniverses,112,122,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
3492,2,pseudo-Omniverses,16,33,internal,https://alldimensions.fandom.com/wiki/Pseudo-Omniverses,"{""pseudo-Omniverses"": 1}",1
3492,2,Beyond,232,238,internal,https://alldimensions.fandom.com/wiki/Beyond,"{""Beyond"": 1}",1
3492,3,Barrels,57,64,internal,https://alldimensions.fandom.com/wiki/Barrel,"{""Barrels"": 1}",1
3492,3,Barrelverse,83,94,internal,https://alldimensions.fandom.com/wiki/Barrelverse,"{""Barrelverse"": 1}",1
3492,3,Transcendentem,208,222,internal,https://alldimensions.fandom.com/wiki/Transcendentem,"{""Transcendentem"": 1}",1
3492,7,Pseudo-Omniverse,21,37,internal,https://alldimensions.fandom.com/wiki/Pseudo-Omniverses,"{""Pseudo-Omniverse"": 1}",1
3492,9,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
3492,12,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
3492,12,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
3492,12,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
3492,35,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
3492,37,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
3492,40,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
3492,56,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
3492,56,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
3492,56,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
3492,56,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
3492,56,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
3492,57,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
3492,57,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
3492,57,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
3492,57,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
3492,57,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
3492,58,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
3492,59,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
3492,59,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
3492,59,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
3492,59,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
