article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
17548,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/11/Bigbluering.png/revision/latest?cb=20191205233844,"{""\n\n"": 1}",1
17548,1,Bandiverse,32,42,internal,https://alldimensions.fandom.com/wiki/Bandiverse,"{""Bandiverse"": 1}",1
17548,1,Bandiverse,32,42,internal,https://alldimensions.fandom.com/wiki/Bandiverse,"{""Bandiverse"": 1}",1
17548,1,MORE,58,62,internal,https://alldimensions.fandom.com/wiki/MORE,"{""MORE"": 1}",1
17548,1,MBN,65,68,internal,https://alldimensions.fandom.com/wiki/MBN,"{""MBN"": 1}",1
17548,1,EUSI,72,76,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
17548,1,Finality Index,88,102,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
17548,1,FOEI,121,125,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
17548,1,Bandiverse,32,42,internal,https://alldimensions.fandom.com/wiki/Bandiverse,"{""Bandiverse"": 1}",1
17548,1,Bandiverse,32,42,internal,https://alldimensions.fandom.com/wiki/Bandiverse,"{""Bandiverse"": 1}",1
17548,1,Red Ring,346,354,internal,https://alldimensions.fandom.com/wiki/Red_Ring,"{""Red Ring"": 1}",1
17548,1,Bandiverse,32,42,internal,https://alldimensions.fandom.com/wiki/Bandiverse,"{""Bandiverse"": 1}",1
17548,1,Adoqexonverse,382,395,internal,https://alldimensions.fandom.com/wiki/Adoqexonverse,"{""Adoqexonverse"": 1}",1
17548,2,Red Ring,172,180,internal,https://alldimensions.fandom.com/wiki/Red_Ring,"{""Red Ring"": 1}",1
17548,2,triangle,332,340,internal,https://alldimensions.fandom.com/wiki/Blue_Triangle,"{""triangle"": 1}",1
17548,4,Red Ring,125,133,internal,https://alldimensions.fandom.com/wiki/Red_Ring,"{""Red Ring"": 1}",1
