article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
15012,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/ff/Chetoma-0.png/revision/latest?cb=20191226174535,"{""\n\n"": 1}",1
15012,1,Universe,51,59,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
15012,1,Yetmmud,224,231,internal,https://alldimensions.fandom.com/wiki/Yetmmud,"{""Yetmmud"": 1}",1
15012,7,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4a/1.png/revision/latest?cb=20191013092219,"{""\n\n"": 1}",1
15012,15,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/fb/2.png/revision/latest?cb=20191013095324,"{""\n\n"": 1}",1
15012,21,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/10/3.png/revision/latest?cb=20191013105211,"{""\n\n"": 1}",1
15012,29,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/9f/4-0.png/revision/latest?cb=20191013144731,"{""\n\n"": 1}",1
15012,36,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/8b/5-0.png/revision/latest?cb=20191014153053,"{""\n\n"": 1}",1
15012,43,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f1/6.png/revision/latest?cb=20191015162526,"{""\n\n"": 1}",1
15012,48,Yetmmud,217,224,internal,https://alldimensions.fandom.com/wiki/Yetmmud,"{""Yetmmud"": 1}",1
15012,51,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/9e/7.png/revision/latest?cb=20191016151349,"{""\n\n"": 1}",1
15012,58,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/60/8.png/revision/latest?cb=20191017183104,"{""\n\n"": 1}",1
15012,66,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/7a/9.png/revision/latest?cb=20191018141433,"{""\n\n"": 1}",1
15012,73,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/58/10.png/revision/latest?cb=20191019075647,"{""\n\n"": 1}",1
15012,80,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/59/11.png/revision/latest?cb=20191019110255,"{""\n\n"": 1}",1
