article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42478,1,Someone Who Owns a Fish,54,77,internal,https://alldimensions.fandom.com/wiki/User:Someone_who_owns_a_fish,"{""Someone Who Owns a Fish"": 1}",1
42478,1,Notysun,109,116,internal,https://alldimensions.fandom.com/wiki/User:Notysun,"{""Notysun"": 1}",1
42478,1,here,144,148,internal,https://alldimensions.fandom.com/wiki/Message_Wall:08dravennew?threadId=4400000000000077486#4400000000000234678,"{""here"": 1}",1
42478,2,Conceptual Gate,34,49,internal,https://alldimensions.fandom.com/wiki/Conceptual_Gate,"{""Conceptual Gate"": 1}",1
42478,4,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f7/PearlyGates.png/revision/latest?cb=20230129235152,"{""\n\n"": 1}",1
42478,4,H(-9),36,41,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H(-9)"": 1}",1
42478,4,EUSI,44,48,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
42478,4,FOEI,61,65,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
42478,4,Conceptual black holes,237,259,internal,https://alldimensions.fandom.com/wiki/Conceptual_black_hole,"{""Conceptual black holes"": 1}",1
42478,4,H(-9),36,41,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H(-9)"": 1}",1
42478,6,H(-9),150,155,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H(-9)"": 1}",1
42478,7,Alphasms,0,8,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
42478,7,key,121,124,internal,https://alldimensions.fandom.com/wiki/Conceptual_key,"{""key"": 1}",1
42478,9,nothing,108,115,internal,https://alldimensions.fandom.com/wiki/Nothing......,"{""nothing"": 1}",1
42478,9,First Realms,343,355,internal,https://alldimensions.fandom.com/wiki/The_First_Realm,"{""First Realms"": 1}",1
