article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42354,1,country,37,44,internal,https://alldimensions.fandom.com/wiki/Category:Country,"{""country"": 1}",1
42354,1,"

",45,47,external,https://static.wikia.nocookie.net/alldimensions/images/6/61/Country.png/revision/latest?cb=20240312224557,"{""\n\n"": 1}",1
42354,1,Continents,92,102,internal,https://alldimensions.fandom.com/wiki/Continent,"{""Continents"": 1}",1
42354,1,planets,114,121,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
42354,1,Administrative subdivisions,178,205,internal,https://alldimensions.fandom.com/wiki/Administrative_subdivision,"{""Administrative subdivisions"": 1}",1
42354,2,planet,34,40,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planet"": 1}",1
42354,2,humans,116,122,internal,https://alldimensions.fandom.com/wiki/Human,"{""humans"": 1}",1
42354,2,Earth,126,131,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
42354,10,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
42354,10,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
42354,23,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
