article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43998,1,Aliber-2345vy-bo9324,88,108,internal,https://alldimensions.fandom.com/wiki/Aliber-2345vy-bo9324,"{""Aliber-2345vy-bo9324"": 1}",1
43998,1,Carnotaurus,117,128,internal,https://alldimensions.fandom.com/wiki/Carnotaurus,"{""Carnotaurus"": 1}",1
43998,2,Proto Triaverse,0,15,internal,https://alldimensions.fandom.com/wiki/Proto_Triaverse,"{""Proto Triaverse"": 1}",1
43998,3,Beta Triaverse,0,14,internal,https://alldimensions.fandom.com/wiki/Beta_Triaverse,"{""Beta Triaverse"": 1}",1
43998,4,Triaverse,0,9,internal,https://alldimensions.fandom.com/wiki/Triaverse,"{""Triaverse"": 1}",1
43998,5,Ejected particles,0,17,internal,https://alldimensions.fandom.com/wiki/Ejected_particles,"{""Ejected particles"": 1}",1
43998,6,Infinitely small verse,0,22,internal,https://alldimensions.fandom.com/wiki/Infinitely_small_verse,"{""Infinitely small verse"": 1}",1
43998,7,Lone world,0,10,internal,https://alldimensions.fandom.com/wiki/Lone_world,"{""Lone world"": 1}",1
43998,8,Darkest Reach,0,13,internal,https://alldimensions.fandom.com/wiki/Darkest_Reach,"{""Darkest Reach"": 1}",1
43998,9,Corrupted Fractaverse,0,21,internal,https://alldimensions.fandom.com/wiki/Corrupted_Fractaverse,"{""Corrupted Fractaverse"": 1}",1
43998,10,Compaverse,0,10,internal,https://alldimensions.fandom.com/wiki/Compaverse,"{""Compaverse"": 1}",1
43998,11,Berverse,0,8,internal,https://alldimensions.fandom.com/wiki/Berverse,"{""Berverse"": 1}",1
43998,12,Behexaverse,0,11,internal,https://alldimensions.fandom.com/wiki/Behexaverse,"{""Behexaverse"": 1}",1
43998,14,Stellarverse,0,12,internal,https://alldimensions.fandom.com/wiki/Stellarverse,"{""Stellarverse"": 1}",1
43998,18,Fractaverse,0,11,internal,https://alldimensions.fandom.com/wiki/Fractaverse,"{""Fractaverse"": 1}",1
43998,19,Corrupted Fractaverse,0,21,internal,https://alldimensions.fandom.com/wiki/Corrupted_Fractaverse,"{""Corrupted Fractaverse"": 1}",1
