article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42951,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/48/5D0A9473-9709-4110-9E87-DDD412998F15.png/revision/latest?cb=20221229232842,"{""\n\n"": 1}",1
42951,1,Matter,129,135,internal,https://alldimensions.fandom.com/wiki/Matter,"{""Matter"": 1}",1
42951,1,Protons,210,217,internal,https://alldimensions.fandom.com/wiki/Proton,"{""Protons"": 1}",1
42951,1,Neutrons,222,230,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""Neutrons"": 1}",1
42951,1,strange,266,273,internal,https://alldimensions.fandom.com/wiki/Strange_Quark,"{""strange"": 1}",1
42951,1,Strange Quark,330,343,internal,https://alldimensions.fandom.com/wiki/Strange_Quark,"{""Strange Quark"": 1}",1
42951,1,Composition Tier,410,426,internal,https://alldimensions.fandom.com/wiki/Composition_Tier,"{""Composition Tier"": 1}",1
42951,2,quarks,68,74,internal,https://alldimensions.fandom.com/wiki/Quark,"{""quarks"": 1}",1
42951,2,elementary particle,86,105,internal,https://alldimensions.fandom.com/wiki/Elementary_particles,"{""elementary particle"": 1}",1
42951,2,matter,134,140,internal,https://alldimensions.fandom.com/wiki/Matter,"{""matter"": 1}",1
42951,2,up quark,160,168,internal,https://alldimensions.fandom.com/wiki/Up_Quark,"{""up quark"": 1}",1
42951,2,neutrons,183,191,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutrons"": 1}",1
42951,2,protons,228,235,internal,https://alldimensions.fandom.com/wiki/Proton,"{""protons"": 1}",1
42951,2,atomic nuclei,271,284,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atomic nuclei"": 1}",1
42951,2,bare mass,371,380,internal,https://alldimensions.fandom.com/wiki/Quark#Mass,"{""bare mass"": 1}",1
42951,3,quarks,9,15,internal,https://alldimensions.fandom.com/wiki/Quark,"{""quarks"": 1}",1
42951,3,elementary,38,48,internal,https://alldimensions.fandom.com/wiki/Elementary_particles,"{""elementary"": 1}",1
42951,3,electromagnetism,136,152,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electromagnetism"": 1}",1
42951,4,up,38,40,internal,https://alldimensions.fandom.com/wiki/Up_Quark,"{""up"": 1}",1
42951,5,String,26,32,internal,https://alldimensions.fandom.com/wiki/String,"{""String"": 1}",1
42951,6,electrons,371,380,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electrons"": 1}",1
42951,6,positrons,385,394,internal,https://alldimensions.fandom.com/wiki/Electron#Positron,"{""positrons"": 1}",1
42951,7,Up Quark,28,36,internal,https://alldimensions.fandom.com/wiki/Up_Quark,"{""Up Quark"": 1}",1
42951,7,electron,94,102,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electron"": 1}",1
42951,7,neutron,165,172,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutron"": 1}",1
42951,7,neutron,165,172,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutron"": 1}",1
42951,7,proton,250,256,internal,https://alldimensions.fandom.com/wiki/Proton,"{""proton"": 1}",1
42951,7,electron,94,102,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electron"": 1}",1
