article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34374,1,"

",56,58,external,https://static.wikia.nocookie.net/alldimensions/images/4/4a/Frickfrack.jpg/revision/latest?cb=20200725202005,"{""\n\n"": 1}",1
34374,1,Fricksvilles,116,128,internal,https://alldimensions.fandom.com/wiki/Fricksville,"{""Fricksvilles"": 1}",1
34374,1,Alphasms,140,148,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
34374,1,Motherfricc'ers,151,166,internal,https://alldimensions.fandom.com/wiki/Motherfricc%27ers,"{""Motherfricc'ers"": 1}",1
34374,1,the Suprematisms,168,184,internal,https://alldimensions.fandom.com/wiki/The_Suprematism,"{""the Suprematisms"": 1}",1
34374,1,Gvggwqtrverse,186,199,internal,https://alldimensions.fandom.com/wiki/Gvggwqtrverse,"{""Gvggwqtrverse"": 1}",1
34374,1,Recycle Realm,219,232,internal,https://alldimensions.fandom.com/wiki/Recycle_Realm,"{""Recycle Realm"": 1}",1
34374,1,Ȓaƒiƙuⱹeɂƪverse,241,256,internal,https://alldimensions.fandom.com/wiki/%C8%92a%C6%92i%C6%99u%E2%B1%B9e%C9%82%C6%AAverse,"{""Ȓaƒiƙuⱹeɂƪverse"": 1}",1
34374,1,Alphasm,140,147,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
34374,1,Alphasmial,415,425,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasmial"": 1}",1
34374,2,Metaalphasmial,59,73,internal,https://alldimensions.fandom.com/wiki/Category:Post-Alphasm,"{""Metaalphasmial"": 1}",1
34374,2,verse,74,79,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
34374,2,Universe,105,113,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
34374,2,Alphasms,135,143,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
34374,2,planets,157,164,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
34374,2,Motherfricc'ers,331,346,internal,https://alldimensions.fandom.com/wiki/Motherfricc%27ers,"{""Motherfricc'ers"": 1}",1
34374,3,Gerald,88,94,internal,https://alldimensions.fandom.com/wiki/Gerald,"{""Gerald"": 1}",1
34374,3,Ald Imensions,96,109,internal,https://alldimensions.fandom.com/wiki/Ald_Imensions,"{""Ald Imensions"": 1}",1
34374,3,Dunkey Kong,111,122,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong,"{""Dunkey Kong"": 1}",1
34374,4,physical Realms,44,59,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""physical Realms"": 1}",1
34374,4,ours,71,75,internal,https://alldimensions.fandom.com/wiki/Reality,"{""ours"": 1}",1
34374,4,Superreality,110,122,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Superreality"": 1}",1
34374,4,Post-Alphasm Verse Hierarchy,135,163,internal,https://alldimensions.fandom.com/wiki/Post-Alphasm_Verse_Hierarchy,"{""Post-Alphasm Verse Hierarchy"": 1}",1
34374,4,Recycle Realm,211,224,internal,https://alldimensions.fandom.com/wiki/Recycle_Realm,"{""Recycle Realm"": 1}",1
34374,5,life,76,80,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""life"": 1}",1
34374,8,wormholes,40,49,internal,https://alldimensions.fandom.com/wiki/Wormhole,"{""wormholes"": 1}",1
