article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48598,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/2/27/UsableImage75.png/revision/latest?cb=20241226011857,"{""\n\n"": 1}",1
48598,1,Ëŕŗōřverses,78,89,internal,https://alldimensions.fandom.com/wiki/%C3%8B%C5%95%C5%97%C5%8D%C5%99verse,"{""Ëŕŗōřverses"": 1}",1
48598,1,Twenty Threes,101,114,internal,https://alldimensions.fandom.com/wiki/Twenty_Three,"{""Twenty Threes"": 1}",1
48598,1,11sDverse,130,139,internal,https://alldimensions.fandom.com/wiki/11sDverse,"{""11sDverse"": 1}",1
48598,1,OYC,352,355,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
48598,3,particle,72,80,internal,https://alldimensions.fandom.com/wiki/Category:Particle,"{""particle"": 1}",1
48598,3,Ëŕŗōřverses,100,111,internal,https://alldimensions.fandom.com/wiki/%C3%8B%C5%95%C5%97%C5%8D%C5%99verse,"{""Ëŕŗōřverses"": 1}",1
48598,3,class 29,147,155,internal,https://alldimensions.fandom.com/wiki/Category:29th-class,"{""class 29"": 1}",1
48598,3,TEPH,172,176,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""TEPH"": 1}",1
48598,3,atoms,45,50,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atoms"": 1}",1
48598,3,elements,318,326,internal,https://alldimensions.fandom.com/wiki/Category:Elements,"{""elements"": 1}",1
48598,3,verses,105,111,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
48598,4,void,180,184,internal,https://alldimensions.fandom.com/wiki/Void,"{""void"": 1}",1
48598,7,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
48598,42,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
