article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45156,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/5b/Feeshverse.jpg/revision/latest?cb=20231231030448,"{""\n\n"": 1}",1
45156,1,Archverses,76,86,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverses"": 1}",1
45156,1,EUSI,122,126,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
45156,1,Finality Index,135,149,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
45156,1,FOEI,154,158,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
45156,1,Hendaverse,352,362,internal,https://alldimensions.fandom.com/wiki/Hendaverse,"{""Hendaverse"": 1}",1
45156,1,Archsphere,364,374,internal,https://alldimensions.fandom.com/wiki/Archsphere,"{""Archsphere"": 1}",1
45156,1,Omni-Web,376,384,internal,https://alldimensions.fandom.com/wiki/Omni-Web,"{""Omni-Web"": 1}",1
45156,1,Extended Divergent Archverses,406,435,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses,"{""Extended Divergent Archverses"": 1}",1
45156,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6b/Almighty_Fish.jpg/revision/latest?cb=20230102000208,"{""\n\n"": 1}",1
45156,2,Universe,637,645,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
45156,4,EDA,26,29,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses,"{""EDA"": 1}",1
45156,6,EDA,74,77,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverse,"{""EDA"": 1}",1
45156,7,Xemtaverse,105,115,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses#Xemtaverse,"{""Xemtaverse"": 1}",1
