article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
27447,1,Sixs,271,275,internal,https://alldimensions.fandom.com/wiki/Six,"{""Sixs"": 1}",1
27447,1,Fours,288,293,internal,https://alldimensions.fandom.com/wiki/Four,"{""Fours"": 1}",1
27447,2,The Pencil Language,15,34,internal,https://alldimensions.fandom.com/wiki/The_Pencil_Language,"{""The Pencil Language"": 1}",1
27447,2,Yappanese,70,79,internal,https://alldimensions.fandom.com/wiki/Earth_2/Yappanese,"{""Yappanese"": 1}",1
27447,2,One Chain,123,132,internal,https://alldimensions.fandom.com/wiki/Category:One_Chain,"{""One Chain"": 1}",1
27447,2,Fours,292,297,internal,https://alldimensions.fandom.com/wiki/Four,"{""Fours"": 1}",1
27447,3,Unexistence,203,214,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistence"": 1}",1
27447,4,Glitchonicite,115,128,internal,https://alldimensions.fandom.com/wiki/Glitchonicite,"{""Glitchonicite"": 1}",1
27447,6,Sixs,128,132,internal,https://alldimensions.fandom.com/wiki/Six,"{""Sixs"": 1}",1
27447,6,repulsive matter,209,225,internal,https://alldimensions.fandom.com/wiki/Repulsive_matter,"{""repulsive matter"": 1}",1
27447,6,Glitchonicite,451,464,internal,https://alldimensions.fandom.com/wiki/Glitchonicite,"{""Glitchonicite"": 1}",1
27447,7,Unexistence,220,231,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistence"": 1}",1
