article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48500,1,Glitchyverse,30,42,internal,https://alldimensions.fandom.com/wiki/Glitchyverse,"{""Glitchyverse"": 1}",1
48500,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/7e/GLITCHverse.png/revision/latest?cb=20250107075323,"{""\n\n"": 1}",1
48500,2,FATALverses,78,89,internal,https://alldimensions.fandom.com/wiki/FATALverse,"{""FATALverses"": 1}",1
48500,2,ERRORverses,101,112,internal,https://alldimensions.fandom.com/wiki/ERRORverse,"{""ERRORverses"": 1}",1
48500,2,OYC,409,412,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
48500,3,glitchy,62,69,internal,https://alldimensions.fandom.com/wiki/Category:Glitch,"{""glitchy"": 1}",1
48500,3,verses,10,16,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
48500,3,ERRORverses Chain,84,101,internal,https://alldimensions.fandom.com/wiki/Category:ERRORverse_Chain,"{""ERRORverses Chain"": 1}",1
48500,4,ERRORverses,37,48,internal,https://alldimensions.fandom.com/wiki/ERRORverse,"{""ERRORverses"": 1}",1
48500,4,extreme glitchonicites,53,75,internal,https://alldimensions.fandom.com/wiki/Glitchonicite,"{""extreme glitchonicites"": 1}",1
48500,4,Aironaverse,307,318,internal,https://alldimensions.fandom.com/wiki/Aironaverse,"{""Aironaverse"": 1}",1
48500,5,elements,214,222,internal,https://alldimensions.fandom.com/wiki/Category:Elements,"{""elements"": 1}",1
48500,5,cosmic entities,264,279,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""cosmic entities"": 1}",1
48500,12,CORRUPTverses,117,130,internal,https://alldimensions.fandom.com/wiki/CORRUPTverse,"{""CORRUPTverses"": 1}",1
48500,12,Fake Pageverse,272,286,internal,https://alldimensions.fandom.com/wiki/Fake_Pageverse,"{""Fake Pageverse"": 1}",1
48500,12,FANDOM,583,589,internal,https://alldimensions.fandom.com/wiki/Fake_FANDOMverse,"{""FANDOM"": 1}",1
48500,12,Fake Googleverses,670,687,internal,https://alldimensions.fandom.com/wiki/Fake_Googleverse,"{""Fake Googleverses"": 1}",1
48500,12,Windowsverses,690,703,internal,https://alldimensions.fandom.com/wiki/Fake_Windowsverse,"{""Windowsverses"": 1}",1
48500,15,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
48500,50,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
