article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36410,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c7/Finger.png/revision/latest?cb=20181103231731,"{""\n\n"": 1}",1
36410,1,The aardwolf,72,84,internal,https://alldimensions.fandom.com/wiki/The_aardwolf,"{""The aardwolf"": 1}",1
36410,1,U N L I M I Ts,96,110,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I Ts"": 1}",1
36410,1,U N L I M I T,96,109,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I T"": 1}",1
36410,1,U N L I M I T,96,109,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I T"": 1}",1
36410,2,U N L I M I Ts,36,50,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I Ts"": 1}",1
36410,3,U N L I M I Ts,156,170,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I Ts"": 1}",1
36410,3,U N L I M I Ts,156,170,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I Ts"": 1}",1
36410,3,U N L I M I Ts,156,170,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I Ts"": 1}",1
36410,3,U N L I M I T,98,111,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I T"": 1}",1
36410,4,U N L I M I T,0,13,internal,https://alldimensions.fandom.com/wiki/U_N_L_I_M_I_T,"{""U N L I M I T"": 1}",1
36410,5,The aardwolf,110,122,internal,https://alldimensions.fandom.com/wiki/The_aardwolf,"{""The aardwolf"": 1}",1
