article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
46646,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/46/The_Pentagramax_of_Hellerox.png/revision/latest?cb=20240808112409,"{""\n\n"": 1}",1
46646,1,֍ Miners Class (2) ֍,139,159,internal,https://alldimensions.fandom.com/wiki/Category:2nd-class,"{""֍ Miners Class (2) ֍"": 1}",1
46646,1,Times and realities,235,254,internal,https://alldimensions.fandom.com/wiki/Time_and_reality,"{""Times and realities"": 1}",1
46646,1,container,256,265,internal,https://alldimensions.fandom.com/wiki/The_container,"{""container"": 1}",1
46646,1,hells,272,277,internal,https://alldimensions.fandom.com/wiki/Hell...,"{""hells"": 1}",1
46646,1,universe,321,329,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
46646,1,hells,272,277,internal,https://alldimensions.fandom.com/wiki/Hell...,"{""hells"": 1}",1
46646,3,Hell,4,8,internal,https://alldimensions.fandom.com/wiki/Hell...,"{""Hell"": 1}",1
46646,3,times and realities,77,96,internal,https://alldimensions.fandom.com/wiki/Time_and_reality,"{""times and realities"": 1}",1
46646,4,The Almighty Being Chaos,92,116,internal,https://alldimensions.fandom.com/wiki/Chaos,"{""The Almighty Being Chaos"": 1}",1
46646,4,Hell,23,27,internal,https://alldimensions.fandom.com/wiki/Hell...,"{""Hell"": 1}",1
