article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38530,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/48/Hexahedron.svg.png/revision/latest?cb=20240910054220,"{""\n\n"": 1}",1
38530,1,EUSI,116,120,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
38530,1,Finality Index,125,139,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
38530,1,Universe Supergroup,406,425,internal,https://alldimensions.fandom.com/wiki/Universe_Supergroup,"{""Universe Supergroup"": 1}",1
38530,1,Multiverse,427,437,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
38530,1,The Outside,439,450,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""The Outside"": 1}",1
38530,1,Imaginary Energy,463,479,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38530,3,nonexistent,20,31,internal,https://alldimensions.fandom.com/wiki/Nonexistence,"{""nonexistent"": 1}",1
38530,3,Multiverse,58,68,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
38530,3,The Outside,71,82,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""The Outside"": 1}",1
38530,3,Imaginary Polyhedrons,106,127,internal,https://alldimensions.fandom.com/wiki/Imaginary_Polyhedrons,"{""Imaginary Polyhedrons"": 1}",1
38530,3,Imaginary Energy,208,224,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38530,4,interuniversal-kind,84,103,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy#Interuniversal,"{""interuniversal-kind"": 1}",1
38530,5,Universe Clusters,266,283,internal,https://alldimensions.fandom.com/wiki/Universe_Cluster,"{""Universe Clusters"": 1}",1
38530,6,Imaginary Octahedrons,277,298,internal,https://alldimensions.fandom.com/wiki/Imaginary_Octahedron,"{""Imaginary Octahedrons"": 1}",1
38530,6,Nexus Cubes,305,316,internal,https://alldimensions.fandom.com/wiki/User_blog:Googleaarex/Nexus_Cube,"{""Nexus Cubes"": 1}",1
38530,8,the Outside,30,41,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""the Outside"": 1}",1
38530,8,Imaginary Dodecahedrons,66,89,internal,https://alldimensions.fandom.com/wiki/Imaginary_Dodecahedron,"{""Imaginary Dodecahedrons"": 1}",1
38530,8,Omniverse,112,121,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
