article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38506,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/16/Imaginary_Tetrahedron.png/revision/latest?cb=20210624133010,"{""\n\n"": 1}",1
38506,1,Darismuth's System,115,133,internal,https://alldimensions.fandom.com/wiki/Darismuth%27s_System,"{""Darismuth's System"": 1}",1
38506,1,Our Multiverse,217,231,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""Our Multiverse"": 1}",1
38506,1,Multiverse,221,231,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
38506,1,Universes,256,265,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
38506,1,Terminal Sphere,269,284,internal,https://alldimensions.fandom.com/wiki/Terminal_Sphere,"{""Terminal Sphere"": 1}",1
38506,3,mostly-nonexistent,30,48,internal,https://alldimensions.fandom.com/wiki/Nonexistence,"{""mostly-nonexistent"": 1}",1
38506,3,universes,101,110,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universes"": 1}",1
38506,4,existent,22,30,internal,https://alldimensions.fandom.com/wiki/Existence_Rank#Existence-1,"{""existent"": 1}",1
38506,4,Imaginary Energy,159,175,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38506,5,Darismuth,103,112,internal,https://alldimensions.fandom.com/wiki/Darismuth%27s_System,"{""Darismuth"": 1}",1
38506,6,Imaginary Energy,35,51,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38506,7,Imaginary Energy,98,114,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38506,8,universes,57,66,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universes"": 1}",1
38506,10,Terminal Spheres,244,260,internal,https://alldimensions.fandom.com/wiki/Terminal_Sphere,"{""Terminal Spheres"": 1}",1
38506,11,ours,23,27,internal,https://alldimensions.fandom.com/wiki/Observable_Universe,"{""ours"": 1}",1
38506,12,Universes,20,29,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
38506,13,Imaginary Energy,73,89,internal,https://alldimensions.fandom.com/wiki/Imaginary_Energy,"{""Imaginary Energy"": 1}",1
38506,14,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
38506,17,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
38506,17,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
38506,17,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
38506,40,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
38506,42,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
38506,45,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
38506,61,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
38506,61,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
38506,61,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
38506,61,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
38506,61,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
38506,62,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
38506,62,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
38506,62,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
38506,62,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
38506,62,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
38506,63,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
38506,64,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
38506,64,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
38506,64,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
38506,64,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
