article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
20166,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/d1/Download_%281%29.jpg/revision/latest?cb=20200120200844,"{""\n\n"": 1}",1
20166,1,Dodecahedron of CHAIR,53,74,internal,https://alldimensions.fandom.com/wiki/Dodecahedron_of_CHAIR,"{""Dodecahedron of CHAIR"": 1}",1
20166,1,The Spool,86,95,internal,https://alldimensions.fandom.com/wiki/The_Spool,"{""The Spool"": 1}",1
20166,1,The Orange,98,108,internal,https://alldimensions.fandom.com/wiki/The_Orange,"{""The Orange"": 1}",1
20166,1,The Thread,193,203,internal,https://alldimensions.fandom.com/wiki/The_Thread,"{""The Thread"": 1}",1
20166,1,The Spool,86,95,internal,https://alldimensions.fandom.com/wiki/The_Spool,"{""The Spool"": 1}",1
20166,1,The Orange,98,108,internal,https://alldimensions.fandom.com/wiki/The_Orange,"{""The Orange"": 1}",1
20166,2,3RR0RV3RS3,60,70,internal,https://alldimensions.fandom.com/wiki/3RR0RV3RS3,"{""3RR0RV3RS3"": 1}",1
20166,2,Terminal Rhombicosidodecahedron,110,141,internal,https://alldimensions.fandom.com/wiki/Terminal_Rhombicosidodecahedron,"{""Terminal Rhombicosidodecahedron"": 1}",1
20166,2,The Spool,236,245,internal,https://alldimensions.fandom.com/wiki/The_Spool,"{""The Spool"": 1}",1
20166,2,The Threads,288,299,internal,https://alldimensions.fandom.com/wiki/The_Thread,"{""The Threads"": 1}",1
20166,2,The Oranges,309,320,internal,https://alldimensions.fandom.com/wiki/The_Orange,"{""The Oranges"": 1}",1
