article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
6981,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/44/Inane.png/revision/latest?cb=20180327155636,"{""\n\n"": 1}",1
6981,2,EUSI,41,45,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
6981,2,·,406,407,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
6981,2,The Great Barriers,435,453,internal,https://alldimensions.fandom.com/wiki/The_Great_Barrier,"{""The Great Barriers"": 1}",1
6981,2,Archrealities,472,485,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
6981,2,Blueprint Particles,498,517,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
6981,2,·s,519,521,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·s"": 1}",1
6981,2,Archrealities,472,485,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
6981,2,White Plains,577,589,internal,https://alldimensions.fandom.com/wiki/The_White_Plain,"{""White Plains"": 1}",1
6981,3,Archrealities,57,70,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
6981,3,Protoverses,115,126,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverses"": 1}",1
6981,3,Blueprint Particles,174,193,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
6981,3,·s,208,210,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·s"": 1}",1
6981,4,the Novachains,226,240,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""the Novachains"": 1}",1
6981,5,Supremums of Zero,72,89,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Zero,"{""Supremums of Zero"": 1}",1
