article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45807,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/56/Kalatlanticus.png/revision/latest?cb=20240403163851,"{""\n\n"": 1}",1
45807,1,!̶,79,81,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45807,1,!̶,79,81,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45807,1,!̶,79,81,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45807,1,23,235,237,internal,https://alldimensions.fandom.com/wiki/Category:23th-class,"{""23"": 1}",1
45807,1,Kalaverses,265,275,internal,https://alldimensions.fandom.com/wiki/Kalaverse,"{""Kalaverses"": 1}",1
45807,1,The Kalagrids,287,300,internal,https://alldimensions.fandom.com/wiki/The_Kalagrid,"{""The Kalagrids"": 1}",1
45807,3,Kalagrids,103,112,internal,https://alldimensions.fandom.com/wiki/The_Kalagrid,"{""Kalagrids"": 1}",1
45807,5,K-Invar,128,135,internal,https://alldimensions.fandom.com/wiki/User_blog:DiggyPT/K-Invar,"{""K-Invar"": 1}",1
45807,5,kalagrid,157,165,internal,https://alldimensions.fandom.com/wiki/The_Kalagrid,"{""kalagrid"": 1}",1
45807,6,Kalaverses,73,83,internal,https://alldimensions.fandom.com/wiki/Kalaverse,"{""Kalaverses"": 1}",1
45807,6,Kalagrid,99,107,internal,https://alldimensions.fandom.com/wiki/The_Kalagrid,"{""Kalagrid"": 1}",1
45807,6,K-Invar,119,126,internal,https://alldimensions.fandom.com/wiki/User_blog:DiggyPT/K-Invar,"{""K-Invar"": 1}",1
45807,11,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
45807,46,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
