article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
35723,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/71/Knot_Chain.png/revision/latest?cb=20201108132031,"{""\n\n"": 1}",1
35723,1,Trefoil Barriers,68,84,internal,https://alldimensions.fandom.com/wiki/The_Trefoil_Barrier,"{""Trefoil Barriers"": 1}",1
35723,1,Trefoilverses,96,109,internal,https://alldimensions.fandom.com/wiki/Trefoilverse,"{""Trefoilverses"": 1}",1
35723,1,Figure-Eightverses,111,129,internal,https://alldimensions.fandom.com/wiki/Figure-Eightverse,"{""Figure-Eightverses"": 1}",1
35723,1,chains,251,257,internal,https://alldimensions.fandom.com/wiki/Category:Chain,"{""chains"": 1}",1
35723,1,trefoilverses,304,317,internal,https://alldimensions.fandom.com/wiki/Trefoilverse,"{""trefoilverses"": 1}",1
35723,1,Figure-Eightverses,111,129,internal,https://alldimensions.fandom.com/wiki/Figure-Eightverse,"{""Figure-Eightverses"": 1}",1
35723,1,Cinqueverses,339,351,internal,https://alldimensions.fandom.com/wiki/Figure-Eightverse,"{""Cinqueverses"": 1}",1
35723,5,verses,10,16,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
35723,5,Cinquefoil knots,40,56,external,https://en.wikipedia.org/wiki/Cinquefoil_knot,"{""Cinquefoil knots"": 1}",1
35723,5,moquarks,302,310,internal,https://alldimensions.fandom.com/wiki/Moquark,"{""moquarks"": 1}",1
35723,7,THE atoms,95,104,internal,https://alldimensions.fandom.com/wiki/THE_atom,"{""THE atoms"": 1}",1
