article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
37035,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4a/Limit_Of_Infinity.png/revision/latest?cb=20210225210345,"{""\n\n"": 1}",1
37035,1,Limits of Maths,57,72,internal,https://alldimensions.fandom.com/wiki/Limit_of_Math,"{""Limits of Maths"": 1}",1
37035,1,θ,154,155,internal,https://alldimensions.fandom.com/wiki/Limit_of_Cardinals,"{""θ"": 1}",1
37035,1,LAIF,200,204,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
37035,1,Limits of Cardinals,256,275,internal,https://alldimensions.fandom.com/wiki/Limit_of_Cardinals,"{""Limits of Cardinals"": 1}",1
37035,1,LAIF,200,204,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
37035,3,θ,488,489,internal,https://alldimensions.fandom.com/wiki/Limit_of_Cardinals,"{""θ"": 1}",1
37035,6,Limit of Numbers,19,35,internal,https://alldimensions.fandom.com/wiki/Limit_of_Numbers,"{""Limit of Numbers"": 1}",1
37035,8,Class -2,348,356,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy#☁_Sub-Xial_Class_(-2)_☁,"{""Class -2"": 1}",1
37035,8,Axions,631,637,internal,https://alldimensions.fandom.com/wiki/Axion,"{""Axions"": 1}",1
