article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43627,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6d/Metacosmology.png/revision/latest?cb=20240520011052,"{""\n\n"": 1}",1
43627,1,Xenocosmology,64,77,internal,https://alldimensions.fandom.com/wiki/Xenocosmology,"{""Xenocosmology"": 1}",1
43627,1,Hypercosmology,93,107,internal,https://alldimensions.fandom.com/wiki/Hypercosmology,"{""Hypercosmology"": 1}",1
43627,4,hypercosmology,34,48,external,https://verse-and-dimensions.fandom.com/wiki/Hypercosmology,"{""hypercosmology"": 1}",1
43627,4,meta hierarchy,86,100,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""meta hierarchy"": 1}",1
43627,5,the extended meta hierarchy,4,31,internal,https://alldimensions.fandom.com/wiki/The_Extended_Meta_Hierarchy,"{""the extended meta hierarchy"": 1}",1
43627,6,the cosmic truth,123,139,internal,https://alldimensions.fandom.com/wiki/The_Cosmic_Truth,"{""the cosmic truth"": 1}",1
43627,11,low transumreality,0,18,internal,https://alldimensions.fandom.com/wiki/Low_Transumreality,"{""low transumreality"": 1}",1
43627,12,the cosmic truth,0,16,internal,https://alldimensions.fandom.com/wiki/The_Cosmic_Truth,"{""the cosmic truth"": 1}",1
43627,13,beyond of the hypercosmos,0,25,internal,https://alldimensions.fandom.com/wiki/Beyond_the_Hypercosmos,"{""beyond of the hypercosmos"": 1}",1
