article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22541,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/63/Metareality_Web-0.png/revision/latest?cb=20200317204030,"{""\n\n"": 1}",1
22541,1,The Eraser,55,65,internal,https://alldimensions.fandom.com/wiki/The_Eraser,"{""The Eraser"": 1}",1
22541,1,The Pencil,67,77,internal,https://alldimensions.fandom.com/wiki/The_Pencil,"{""The Pencil"": 1}",1
22541,1,Metareality Links,99,116,internal,https://alldimensions.fandom.com/wiki/Metareality_Link,"{""Metareality Links"": 1}",1
22541,1,Metareality Cores,118,135,internal,https://alldimensions.fandom.com/wiki/Metareality_Core,"{""Metareality Cores"": 1}",1
22541,1,The Blue Void,173,186,internal,https://alldimensions.fandom.com/wiki/The_Blue_Void,"{""The Blue Void"": 1}",1
22541,1,The Box,188,195,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
22541,1,Omniverse,197,206,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
22541,1,Antiverse,208,217,internal,https://alldimensions.fandom.com/wiki/Antiverse,"{""Antiverse"": 1}",1
22541,1,The Null,219,227,internal,https://alldimensions.fandom.com/wiki/The_Null,"{""The Null"": 1}",1
22541,1,Isolated Dimension,229,247,internal,https://alldimensions.fandom.com/wiki/Isolated_Dimension,"{""Isolated Dimension"": 1}",1
22541,1,The Steakality,249,263,internal,https://alldimensions.fandom.com/wiki/The_Steakality,"{""The Steakality"": 1}",1
22541,1,BEYOND HELL,265,276,internal,https://alldimensions.fandom.com/wiki/BEYOND_HELL,"{""BEYOND HELL"": 1}",1
22541,1,The Quarkmuanxi Containment center,279,313,internal,https://alldimensions.fandom.com/wiki/The_Quarkmuanxi_Containment_center,"{""The Quarkmuanxi Containment center"": 1}",1
22541,1,THE CREATOR,408,419,internal,https://alldimensions.fandom.com/wiki/THE_CREATOR,"{""THE CREATOR"": 1}",1
22541,1,The box,493,500,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The box"": 1}",1
22541,1,Omniverse,197,206,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
22541,1,Primordialverse,525,540,internal,https://alldimensions.fandom.com/wiki/Primordialverse,"{""Primordialverse"": 1}",1
22541,1,Metareality Core,118,134,internal,https://alldimensions.fandom.com/wiki/Metareality_Core,"{""Metareality Core"": 1}",1
22541,3,The Pencil,33,43,internal,https://alldimensions.fandom.com/wiki/The_Pencil,"{""The Pencil"": 1}",1
22541,3,Glitchy999's Hierarchy,97,119,internal,https://alldimensions.fandom.com/wiki/Glitchy999%27s_Hierarchy,"{""Glitchy999's Hierarchy"": 1}",1
