article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43646,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/46/SpaceTimeWeb.jpg/revision/latest?cb=20230204123000,"{""\n\n"": 1}",1
43646,1,False godity spaces,258,277,internal,https://alldimensions.fandom.com/wiki/Godity_space_(false),"{""False godity spaces"": 1}",1
43646,1,primidial godity spaces,279,302,internal,https://alldimensions.fandom.com/wiki/Primidial_godity_space,"{""primidial godity spaces"": 1}",1
43646,1,Final fractals,304,318,internal,https://alldimensions.fandom.com/wiki/Final_fractal,"{""Final fractals"": 1}",1
43646,1,Gridcubes,320,329,internal,https://alldimensions.fandom.com/wiki/The_Gridcube,"{""Gridcubes"": 1}",1
43646,1,Outcodes,365,373,internal,https://alldimensions.fandom.com/wiki/Outcode....,"{""Outcodes"": 1}",1
43646,1,hells,375,380,internal,https://alldimensions.fandom.com/wiki/Hell...,"{""hells"": 1}",1
43646,3,EDAs,229,233,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses,"{""EDAs"": 1}",1
43646,4,post-hierarchy,51,65,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""post-hierarchy"": 1}",1
43646,4,false godity spaces,96,115,internal,https://alldimensions.fandom.com/wiki/Godity_space_(false),"{""false godity spaces"": 1}",1
