article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38466,1,Reality,93,100,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Reality"": 1}",1
38466,1,Blueprint Particles,113,132,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
38466,3,Realm,73,78,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realm"": 1}",1
38466,4,Dimensional Blueprint Particles,169,200,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle#Dimensional,"{""Dimensional Blueprint Particles"": 1}",1
38466,4,existence ranks,216,231,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""existence ranks"": 1}",1
38466,4,existence,216,225,internal,https://alldimensions.fandom.com/wiki/Existence_Rank#Existence-1,"{""existence"": 1}",1
38466,4,non-existence,290,303,internal,https://alldimensions.fandom.com/wiki/Existence_Rank#Existence-0,"{""non-existence"": 1}",1
38466,5,Chaos Fabric,37,49,internal,https://alldimensions.fandom.com/wiki/Chaos_Fabric,"{""Chaos Fabric"": 1}",1
38466,5,·,190,191,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38466,5,○,193,194,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○"": 1}",1
38466,5,⬤,196,197,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
38466,5,Blueprint Particles,203,222,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
38466,5,Realm,286,291,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realm"": 1}",1
38466,5,Uqreak fibers,299,312,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqreak fibers"": 1}",1
38466,5,Subexistons,398,409,internal,https://alldimensions.fandom.com/wiki/Subexistion,"{""Subexistons"": 1}",1
38466,6,the Suprematism,41,56,internal,https://alldimensions.fandom.com/wiki/The_Suprematism,"{""the Suprematism"": 1}",1
38466,6,Subrealities,62,74,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Subrealities"": 1}",1
