article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
3689,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/72/The_Milky_Way.jpeg/revision/latest?cb=20240815134730,"{""\n\n"": 1}",1
3689,1,Local Group,277,288,internal,https://alldimensions.fandom.com/wiki/Local_Group,"{""Local Group"": 1}",1
3689,1,Our Universe,290,302,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""Our Universe"": 1}",1
3689,1,Stars,332,337,internal,https://alldimensions.fandom.com/wiki/Star,"{""Stars"": 1}",1
3689,1,Thegatus,358,366,internal,https://alldimensions.fandom.com/wiki/Thegatus,"{""Thegatus"": 1}",1
3689,3,Observable Universe,0,19,internal,https://alldimensions.fandom.com/wiki/Observable_Universe,"{""Observable Universe"": 1}",1
3689,3,Laneakea Supercluster,58,79,internal,https://alldimensions.fandom.com/wiki/Laneakea_Supercluster,"{""Laneakea Supercluster"": 1}",1
3689,3,Local Group,82,93,internal,https://alldimensions.fandom.com/wiki/Local_Group,"{""Local Group"": 1}",1
3689,4,Humans,28,34,internal,https://alldimensions.fandom.com/wiki/Humans,"{""Humans"": 1}",1
3689,4,Universe,90,98,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
3689,4,Humans,28,34,internal,https://alldimensions.fandom.com/wiki/Humans,"{""Humans"": 1}",1
3689,5,Spiral,13,19,internal,https://alldimensions.fandom.com/wiki/Spiral_Galaxy,"{""Spiral"": 1}",1
3689,5,Elliptical,22,32,internal,https://alldimensions.fandom.com/wiki/Elliptical_Galaxy,"{""Elliptical"": 1}",1
3689,7,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
3689,10,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
3689,10,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
3689,10,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
3689,33,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
3689,35,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
3689,38,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
3689,54,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
3689,54,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
3689,54,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
3689,54,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
3689,54,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
3689,55,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
3689,55,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
3689,55,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
3689,55,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
3689,55,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
3689,56,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
3689,57,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
3689,57,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
3689,57,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
3689,57,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
