article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49486,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/14/Megastinger_in_the_Multiverse.png/revision/latest?cb=20250425015315,"{""\n\n"": 1}",1
49486,1,universe,79,87,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
49486,1,verses,107,113,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
49486,1,Boxes,137,142,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
49486,1,universes,177,186,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universes"": 1}",1
49486,2,cosmic organisms,25,41,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""cosmic organisms"": 1}",1
49486,2,verses,70,76,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
49486,2,Existence,90,99,internal,https://alldimensions.fandom.com/wiki/Existence,"{""Existence"": 1}",1
49486,3,gods,21,25,internal,https://alldimensions.fandom.com/wiki/Category:God,"{""gods"": 1}",1
49486,4,stars,29,34,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
49486,4,planets,38,45,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
49486,5,OYC,33,36,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
49486,9,universe,274,282,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
49486,9,multiverse,294,304,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverse"": 1}",1
49486,12,Balalin,0,7,internal,https://alldimensions.fandom.com/wiki/Balalin,"{""Balalin"": 1}",1
