article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
2111,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/73/Multiverse.jpg/revision/latest?cb=20210309143414,"{""\n\n"": 1}",1
2111,1,Metaverses,71,81,internal,https://alldimensions.fandom.com/wiki/Metaverse,"{""Metaverses"": 1}",1
2111,1,Megaverses,83,93,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverses"": 1}",1
2111,1,Zathoverses,95,106,internal,https://alldimensions.fandom.com/wiki/User_blog:Glitchy999/Zathoverse,"{""Zathoverses"": 1}",1
2111,1,Collectionverses,108,124,internal,https://alldimensions.fandom.com/wiki/Collectionverse,"{""Collectionverses"": 1}",1
2111,1,QuirkVerse,138,148,internal,https://alldimensions.fandom.com/wiki/QuirkVerse,"{""QuirkVerse"": 1}",1
2111,1,Spiroverse,154,164,internal,https://alldimensions.fandom.com/wiki/Spiroverse,"{""Spiroverse"": 1}",1
2111,1,TREEVERSEs,166,176,internal,https://alldimensions.fandom.com/wiki/TREEVERSE,"{""TREEVERSEs"": 1}",1
2111,1,Universes,254,263,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
2111,1,ours,275,279,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""ours"": 1}",1
2111,1,Universe Groups,282,297,internal,https://alldimensions.fandom.com/wiki/Universe_Group,"{""Universe Groups"": 1}",1
2111,1,Universe Supergroups,299,319,internal,https://alldimensions.fandom.com/wiki/Universe_Supergroup,"{""Universe Supergroups"": 1}",1
2111,1,Imaginary Polyhedrons,321,342,internal,https://alldimensions.fandom.com/wiki/Imaginary_Polyhedrons,"{""Imaginary Polyhedrons"": 1}",1
2111,1,etc,344,347,internal,https://alldimensions.fandom.com/wiki/%27Verses_contained_by_the_multiverses,"{""etc"": 1}",1
2111,1,Our Multiverse,399,413,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""Our Multiverse"": 1}",1
2111,3,Universes,45,54,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
2111,3,Metaverse,168,177,internal,https://alldimensions.fandom.com/wiki/Metaverse,"{""Metaverse"": 1}",1
2111,3,Universe formation,268,286,internal,https://alldimensions.fandom.com/wiki/Universe_Formation,"{""Universe formation"": 1}",1
2111,3,MLTI-577,323,331,internal,https://alldimensions.fandom.com/wiki/MLTI-577,"{""MLTI-577"": 1}",1
2111,3,MLTI-183,366,374,internal,https://alldimensions.fandom.com/wiki/MLTI-183,"{""MLTI-183"": 1}",1
2111,4,elementary particles,109,129,internal,https://alldimensions.fandom.com/wiki/Elementary_particles,"{""elementary particles"": 1}",1
2111,5,matter,175,181,internal,https://alldimensions.fandom.com/wiki/Matter,"{""matter"": 1}",1
2111,5,fine structure constant,359,382,external,https://en.wikipedia.org/wiki/Fine-structure_constant,"{""fine structure constant"": 1}",1
2111,12,Le Jorino Areas,32,47,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Areas"": 1}",1
