article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49459,1,Nanoarchaeum equitans,10,31,external,https://en.wikipedia.org/wiki/Nanoarchaeum_equitans,"{""Nanoarchaeum equitans"": 1}",1
49459,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/9a/NanoequatisComparison.png/revision/latest?cb=20250425001900,"{""\n\n"": 1}",1
49459,1,our Universe,62,74,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""our Universe"": 1}",1
49459,1,Nanoarchaeum equitans,10,31,external,https://en.wikipedia.org/wiki/Nanoarchaeum_equitans,"{""Nanoarchaeum equitans"": 1}",1
49459,1,organism/being,437,451,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""organism/being"": 1}",1
49459,1,multiverses,470,481,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverses"": 1}",1
49459,2,species,29,36,internal,https://alldimensions.fandom.com/wiki/Category:Species,"{""species"": 1}",1
49459,2,Archverses,269,279,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverses"": 1}",1
49459,2,Khraktaverses,391,404,internal,https://alldimensions.fandom.com/wiki/Khraktaverse,"{""Khraktaverses"": 1}",1
49459,3,universes,130,139,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universes"": 1}",1
49459,3,galaxies,266,274,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galaxies"": 1}",1
49459,6,galactic,217,225,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galactic"": 1}",1
49459,8,[1],119,122,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
