article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40807,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/18/Networkverse.jpg/revision/latest?cb=20220210212323,"{""\n\n"": 1}",1
40807,1,Wikiverses,118,128,internal,https://alldimensions.fandom.com/wiki/Wikiverse,"{""Wikiverses"": 1}",1
40807,1,We reached the Earth... again...,274,306,internal,https://alldimensions.fandom.com/wiki/We_reached_the_Earth..._again...,"{""We reached the Earth... again..."": 1}",1
40807,1,Computerverses,327,341,internal,https://alldimensions.fandom.com/wiki/Computerverse,"{""Computerverses"": 1}",1
40807,1,Windowsverses,360,373,internal,https://alldimensions.fandom.com/wiki/Windowsverse,"{""Windowsverses"": 1}",1
40807,1,Virusverses,401,412,internal,https://alldimensions.fandom.com/wiki/Virusverse,"{""Virusverses"": 1}",1
40807,2,1st looped verses,157,174,internal,https://alldimensions.fandom.com/wiki/The_infinite_loops_theory#1st_loop,"{""1st looped verses"": 1}",1
40807,2,[1],174,177,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
40807,3,Universes,24,33,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
40807,4,Omniverses,26,36,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
40807,5,Uniperaverses,27,40,internal,https://alldimensions.fandom.com/wiki/Uniperaverse,"{""Uniperaverses"": 1}",1
40807,6,Biggernoseverses,26,42,internal,https://alldimensions.fandom.com/wiki/Biggernoseverse,"{""Biggernoseverses"": 1}",1
40807,7,The Bricks,25,35,internal,https://alldimensions.fandom.com/wiki/The_Brick,"{""The Bricks"": 1}",1
40807,8,Quod Transfinitas,25,42,internal,https://alldimensions.fandom.com/wiki/Quod_Transfinita,"{""Quod Transfinitas"": 1}",1
40807,9,THUBs,26,31,internal,https://alldimensions.fandom.com/wiki/THUB,"{""THUBs"": 1}",1
40807,10,The tisdens,25,36,internal,https://alldimensions.fandom.com/wiki/The_tistden,"{""The tisdens"": 1}",1
40807,11,Alwayss,25,32,internal,https://alldimensions.fandom.com/wiki/Always,"{""Alwayss"": 1}",1
40807,12,Obamaverses,26,37,internal,https://alldimensions.fandom.com/wiki/Obamaverse,"{""Obamaverses"": 1}",1
40807,13,The Hyper Flowers,26,43,internal,https://alldimensions.fandom.com/wiki/The_Hyper_Flower,"{""The Hyper Flowers"": 1}",1
40807,14,The Spacetime Simulations,25,50,internal,https://alldimensions.fandom.com/wiki/The_Spacetime_Simulation,"{""The Spacetime Simulations"": 1}",1
40807,15,The Nuggets,26,37,internal,https://alldimensions.fandom.com/wiki/The_Nugget,"{""The Nuggets"": 1}",1
40807,16,Ome topo moks,27,40,internal,https://alldimensions.fandom.com/wiki/%C3%96m%C3%AB-T%C3%B6p%C3%B6_M%C3%B6k,"{""Ome topo moks"": 1}",1
40807,17,Back to back to Reality,27,50,internal,https://alldimensions.fandom.com/wiki/Back_to_back_to_reality,"{""Back to back to Reality"": 1}",1
40807,18,The Structure Of Everything,26,53,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure Of Everything"": 1}",1
40807,19,The Ultimate Container,28,50,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Container,"{""The Ultimate Container"": 1}",1
