article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49494,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/0b/Nihilistic.png/revision/latest?cb=20250426020618,"{""\n\n"": 1}",1
49494,3,galaxy,37,43,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galaxy"": 1}",1
49494,3,universe,51,59,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
49494,3,UNI-5039,142,150,internal,https://alldimensions.fandom.com/wiki/UNI-5039,"{""UNI-5039"": 1}",1
49494,4,stars,27,32,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
49494,4,quasar,72,78,internal,https://alldimensions.fandom.com/wiki/Quasar,"{""quasar"": 1}",1
49494,4,black hole,133,143,internal,https://alldimensions.fandom.com/wiki/Black_hole,"{""black hole"": 1}",1
49494,4,individuals,191,202,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""individuals"": 1}",1
49494,4,void,473,477,internal,https://alldimensions.fandom.com/wiki/Void,"{""void"": 1}",1
49494,5,Nihil,9,14,internal,https://alldimensions.fandom.com/wiki/Nihil,"{""Nihil"": 1}",1
