article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
50258,2,Nihil,1,6,internal,https://alldimensions.fandom.com/wiki/Nihil,"{""Nihil"": 1}",1
50258,3,〽️,66,68,internal,https://alldimensions.fandom.com/wiki/%E3%80%BD%EF%B8%8F,"{""〽️"": 1}",1
50258,3,All Cubes,110,119,internal,https://alldimensions.fandom.com/wiki/Allcube,"{""All Cubes"": 1}",1
50258,3,Irrepressiblecosms,123,141,internal,https://alldimensions.fandom.com/wiki/Irrepressiblecosm,"{""Irrepressiblecosms"": 1}",1
50258,3,THAT,279,283,internal,https://alldimensions.fandom.com/wiki/Creation,"{""THAT"": 1}",1
50258,4,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/58/Nihilumiums.jpg/revision/latest?cb=20250701073333,"{""\n\n"": 1}",1
50258,7,allsphere tree,13,27,internal,https://alldimensions.fandom.com/wiki/Allsphere_Tree,"{""allsphere tree"": 1}",1
50258,8,aevosums,36,44,internal,https://alldimensions.fandom.com/wiki/Aevosum,"{""aevosums"": 1}",1
50258,8,when nihil is busy doing something,133,167,external,https://m.youtube.com/watch?v=EmNxhU9x1tE&pp=ygUNVGltZSB2cyBuaWhpbA%3D%3D,"{""when nihil is busy doing something"": 1}",1
50258,8,someone???,249,259,internal,https://alldimensions.fandom.com/wiki/Mortiferumumbraeetluxoathron_the_wizard_champion_of_the_great_halls_of_the_allsphere,"{""someone???"": 1}",1
