article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
44116,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/64/Screen_Shot_2020-03-25_at_10.57.06_AM.png/revision/latest?cb=20200325175721,"{""\n\n"": 1}",1
44116,1,Always,37,43,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
44116,1,So,178,180,internal,https://alldimensions.fandom.com/wiki/So,"{""So"": 1}",1
44116,1,The Enormous,182,194,internal,https://alldimensions.fandom.com/wiki/The_Enormous,"{""The Enormous"": 1}",1
44116,1,Always,37,43,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
44116,3,Always,119,125,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
44116,3,The Structure,291,304,internal,https://alldimensions.fandom.com/wiki/The_Structure,"{""The Structure"": 1}",1
44116,4,The Building,215,227,internal,https://alldimensions.fandom.com/wiki/The_Building,"{""The Building"": 1}",1
44116,4,Always,276,282,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
44116,4,Scalene,385,392,internal,https://alldimensions.fandom.com/wiki/Scalene,"{""Scalene"": 1}",1
44116,4,The dentist,424,435,internal,https://alldimensions.fandom.com/wiki/The_dentist,"{""The dentist"": 1}",1
44116,5,Always,96,102,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
44116,6,So,30,32,internal,https://alldimensions.fandom.com/wiki/So,"{""So"": 1}",1
44116,6,The Enormous,45,57,internal,https://alldimensions.fandom.com/wiki/The_Enormous,"{""The Enormous"": 1}",1
