article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
19789,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/58/Voidverse.png/revision/latest?cb=20170521091808,"{""\n\n"": 1}",1
19789,1,The Blue Barriers,55,72,internal,https://alldimensions.fandom.com/wiki/The_Blue_Barrier,"{""The Blue Barriers"": 1}",1
19789,1,The Red Barriers,84,100,internal,https://alldimensions.fandom.com/wiki/The_Red_Barrier,"{""The Red Barriers"": 1}",1
19789,1,Poiple Tyangles,102,117,internal,https://alldimensions.fandom.com/wiki/Poiple_Tyangle,"{""Poiple Tyangles"": 1}",1
19789,2,species,36,43,internal,https://alldimensions.fandom.com/wiki/Category:Species,"{""species"": 1}",1
19789,2,Kceh,73,77,internal,https://alldimensions.fandom.com/wiki/Kceh,"{""Kceh"": 1}",1
19789,3,Bigs,46,50,internal,https://alldimensions.fandom.com/wiki/The_Big,"{""Bigs"": 1}",1
19789,3,Heaa,60,64,internal,https://alldimensions.fandom.com/wiki/Heaa,"{""Heaa"": 1}",1
19789,4,verse,144,149,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
19789,6,End-All-Be-All,69,83,internal,https://alldimensions.fandom.com/wiki/Category:End-All-Be-All,"{""End-All-Be-All"": 1}",1
19789,6,everything,127,137,internal,https://alldimensions.fandom.com/wiki/Everything,"{""everything"": 1}",1
19789,6,Times and Realities,202,221,internal,https://alldimensions.fandom.com/wiki/Time_and_reality,"{""Times and Realities"": 1}",1
19789,8,wiki,24,28,internal,https://alldimensions.fandom.com/wiki/Wikiverse,"{""wiki"": 1}",1
19789,8,hierarchy,193,202,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""hierarchy"": 1}",1
19789,8,Boxes,253,258,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
19789,10,The Blue Barriers,0,17,internal,https://alldimensions.fandom.com/wiki/The_Blue_Barrier,"{""The Blue Barriers"": 1}",1
