article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38310,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f9/Ochaverse2.jpg/revision/latest?cb=20230103232828,"{""\n\n"": 1}",1
38310,1,Mingaverse,49,59,internal,https://alldimensions.fandom.com/wiki/Mingaverse,"{""Mingaverse"": 1}",1
38310,1,Peptaverse,71,81,internal,https://alldimensions.fandom.com/wiki/Peptaverse,"{""Peptaverse"": 1}",1
38310,1,Peptaverses,192,203,internal,https://alldimensions.fandom.com/wiki/Peptaverse,"{""Peptaverses"": 1}",1
38310,1,Octoverse,369,378,internal,https://alldimensions.fandom.com/wiki/Octoverse,"{""Octoverse"": 1}",1
38310,2,Universes,75,84,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
38310,2,Peptaverses,243,254,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses#Peptaverse,"{""Peptaverses"": 1}",1
38310,2,Feesh,360,365,internal,https://alldimensions.fandom.com/wiki/Feeshverse,"{""Feesh"": 1}",1
38310,2,Hypershifting,619,632,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses#Hypershifting,"{""Hypershifting"": 1}",1
38310,2,Ochaversial Gravity,856,875,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses#Ochaversial_Gravity,"{""Ochaversial Gravity"": 1}",1
38310,4,Octoverse,30,39,internal,https://alldimensions.fandom.com/wiki/Octoverse,"{""Octoverse"": 1}",1
38310,4,Octoverse,30,39,internal,https://alldimensions.fandom.com/wiki/Octoverse,"{""Octoverse"": 1}",1
38310,6,Hyperphotons,72,84,internal,https://alldimensions.fandom.com/wiki/Hyperphoton,"{""Hyperphotons"": 1}",1
38310,6,Hyperphoton,72,83,internal,https://alldimensions.fandom.com/wiki/Hyperphoton,"{""Hyperphoton"": 1}",1
