article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45700,1,omniverses,36,46,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""omniverses"": 1}",1
45700,1,"

",60,62,external,https://static.wikia.nocookie.net/alldimensions/images/2/2e/Generic_Omniverse.png/revision/latest?cb=20250120011928,"{""\n\n"": 1}",1
45700,1,EUSI,106,110,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
45700,1,Finality Index,118,132,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
45700,1,FOEI,137,141,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
45700,1,TGH,264,267,internal,https://alldimensions.fandom.com/wiki/TGH,"{""TGH"": 1}",1
45700,1,Omniverseplexes,316,331,internal,https://alldimensions.fandom.com/wiki/Omniverseplex,"{""Omniverseplexes"": 1}",1
45700,1,Alternate Hyperverses,344,365,internal,https://alldimensions.fandom.com/wiki/Hyperverse_(TGH),"{""Alternate Hyperverses"": 1}",1
45700,2,TGH,9,12,internal,https://alldimensions.fandom.com/wiki/TGH,"{""TGH"": 1}",1
45700,3,Generic Hierarchy's,4,23,internal,https://alldimensions.fandom.com/wiki/User:ICantEdit/The_Generic_Hierarchy,"{""Generic Hierarchy's"": 1}",1
45700,3,Omniverses,24,34,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
45700,4,finality index,92,106,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""finality index"": 1}",1
45700,4,Box,188,191,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Box"": 1}",1
45700,5,Ultraverses,64,75,internal,https://alldimensions.fandom.com/wiki/Ultraverse_(TGH),"{""Ultraverses"": 1}",1
45700,5,Hyperverses,80,91,internal,https://alldimensions.fandom.com/wiki/Hyperverse_(TGH),"{""Hyperverses"": 1}",1
45700,5,normal,117,123,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""normal"": 1}",1
45700,5,counterparts,124,136,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""counterparts"": 1}",1
45700,6,Omniversal Waves,0,16,internal,https://alldimensions.fandom.com/wiki/Omniversal_Waves,"{""Omniversal Waves"": 1}",1
