article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
23131,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/3c/Screen_Shot_2020-03-28_at_11.51.16_AM.png/revision/latest?cb=20200328185144,"{""\n\n"": 1}",1
23131,1,Archverses of Reality,44,65,internal,https://alldimensions.fandom.com/wiki/Archverse_of_Reality,"{""Archverses of Reality"": 1}",1
23131,1,The Nested Infinity,234,253,internal,https://alldimensions.fandom.com/wiki/The_Nested_Infinity,"{""The Nested Infinity"": 1}",1
23131,1,Barrel of Reality,255,272,internal,https://alldimensions.fandom.com/wiki/Barrel_of_Reality,"{""Barrel of Reality"": 1}",1
23131,1,Archverse of Reality,285,305,internal,https://alldimensions.fandom.com/wiki/Archverse_of_Reality,"{""Archverse of Reality"": 1}",1
23131,3,Archverses of Reality,58,79,internal,https://alldimensions.fandom.com/wiki/Archverse_of_Reality,"{""Archverses of Reality"": 1}",1
23131,4,Hyperverses of Reality,146,168,internal,https://alldimensions.fandom.com/wiki/Hyperverse_of_Reality,"{""Hyperverses of Reality"": 1}",1
23131,4,Megaverses of Reality,170,191,internal,https://alldimensions.fandom.com/wiki/Megaverse_of_Reality,"{""Megaverses of Reality"": 1}",1
23131,5,Omni-Gods,239,248,internal,https://alldimensions.fandom.com/wiki/Omni-God,"{""Omni-Gods"": 1}",1
23131,7,Barrels of Reality,49,67,internal,https://alldimensions.fandom.com/wiki/Barrel_of_Reality,"{""Barrels of Reality"": 1}",1
23131,7,Nested Infinities,71,88,internal,https://alldimensions.fandom.com/wiki/The_Nested_Infinity,"{""Nested Infinities"": 1}",1
23131,7,the Waterfalls,185,199,internal,https://alldimensions.fandom.com/wiki/The_Waterfall,"{""the Waterfalls"": 1}",1
23131,7,Nested Infinity,244,259,internal,https://alldimensions.fandom.com/wiki/The_Nested_Infinity,"{""Nested Infinity"": 1}",1
23131,7,Barrel of Reality,304,321,internal,https://alldimensions.fandom.com/wiki/Barrel_of_Reality,"{""Barrel of Reality"": 1}",1
