article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45702,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/a3/Omniverseplexian.png/revision/latest?cb=20250121131205,"{""\n\n"": 1}",1
45702,1,2 - (֍ Minerian Class ֍),115,139,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""2 - (֍ Minerian Class ֍)"": 1}",1
45702,1,TGH,149,152,internal,https://alldimensions.fandom.com/wiki/TGH,"{""TGH"": 1}",1
45702,1,Omniverseplexes,235,250,internal,https://alldimensions.fandom.com/wiki/Omniverseplex,"{""Omniverseplexes"": 1}",1
45702,2,TGH,9,12,internal,https://alldimensions.fandom.com/wiki/TGH,"{""TGH"": 1}",1
45702,4,generic omniverses,40,58,internal,https://alldimensions.fandom.com/wiki/Omniverse_(TGH),"{""generic omniverses"": 1}",1
45702,4,omniverses,48,58,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""omniverses"": 1}",1
45702,4,pseudo-omniverses,88,105,internal,https://alldimensions.fandom.com/wiki/Pseudo-Omniverses,"{""pseudo-omniverses"": 1}",1
45702,4,allomniverses,107,120,internal,https://alldimensions.fandom.com/wiki/Allomniverse,"{""allomniverses"": 1}",1
45702,4,Omniverseplexes,136,151,internal,https://alldimensions.fandom.com/wiki/Omniverseplex,"{""Omniverseplexes"": 1}",1
45702,4,Boxes,191,196,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
45702,6,hyperverses,112,123,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""hyperverses"": 1}",1
