article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
35755,5,OYC,768,771,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
35755,6,OYC,393,396,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
35755,10,Universe,52,60,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
35755,10,Multiverse,95,105,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
35755,10,The Official Cosmic Entity Hierarchy,202,238,internal,https://alldimensions.fandom.com/wiki/The_Official_Cosmic_Entity_Hierarchy,"{""The Official Cosmic Entity Hierarchy"": 1}",1
35755,11,Omniverse,95,104,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
35755,11,ƒ,624,625,internal,https://alldimensions.fandom.com/wiki/The_Absolute_-_%C6%92,"{""ƒ"": 1}",1
35755,12,The Black Realm,31,46,internal,https://alldimensions.fandom.com/wiki/The_Black_Realm,"{""The Black Realm"": 1}",1
35755,13,The Black Realm,187,202,internal,https://alldimensions.fandom.com/wiki/The_Black_Realm,"{""The Black Realm"": 1}",1
35755,13,Realm,197,202,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realm"": 1}",1
35755,14,First Realm,273,284,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""First Realm"": 1}",1
