article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
4466,1,stars,366,371,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
4466,1,planets,179,186,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
4466,1,Stars,478,483,internal,https://alldimensions.fandom.com/wiki/Star,"{""Stars"": 1}",1
4466,1,Solar Systems,504,517,internal,https://alldimensions.fandom.com/wiki/Solar_System,"{""Solar Systems"": 1}",1
4466,1,Moons,536,541,internal,https://alldimensions.fandom.com/wiki/Moon,"{""Moons"": 1}",1
4466,2,stars,57,62,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
4466,2,planets,67,74,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
4466,3,star,83,87,internal,https://alldimensions.fandom.com/wiki/Star,"{""star"": 1}",1
4466,3,planets,134,141,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
4466,3,solar system,507,519,internal,https://alldimensions.fandom.com/wiki/Solar_System,"{""solar system"": 1}",1
4466,8,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
4466,8,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
4466,21,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
