article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36598,1,Puffish,6,13,internal,https://alldimensions.fandom.com/wiki/Puffish,"{""Puffish"": 1}",1
36598,99,Primordium Delta,6,22,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
36598,100,Primordium Alpha,6,22,internal,https://alldimensions.fandom.com/wiki/Primordium_Alpha,"{""Primordium Alpha"": 1}",1
36598,101,Primordium Sigma,6,22,internal,https://alldimensions.fandom.com/wiki/Primordium_Sigma,"{""Primordium Sigma"": 1}",1
36598,102,Primordium Omega,6,22,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
36598,118,THE PRIMORDIAL,8,22,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""THE PRIMORDIAL"": 1}",1
36598,119,Puffgas,9,16,internal,https://alldimensions.fandom.com/wiki/Puffgas,"{""Puffgas"": 1}",1
36598,120,The Darkness,9,21,internal,https://alldimensions.fandom.com/wiki/BOOD-VOOD-VAV,"{""The Darkness"": 1}",1
36598,121,Glitchy,9,16,internal,https://alldimensions.fandom.com/wiki/Glitchy,"{""Glitchy"": 1}",1
36598,122,The Forgotten God,9,26,internal,https://alldimensions.fandom.com/wiki/The_Forgotten_God,"{""The Forgotten God"": 1}",1
36598,123,The Occunulius,9,23,internal,https://alldimensions.fandom.com/wiki/The_Occunulius,"{""The Occunulius"": 1}",1
36598,124,Death,9,14,internal,https://alldimensions.fandom.com/wiki/BOOD-ROW-VAV,"{""Death"": 1}",1
36598,125,The Universe Weaver,9,28,internal,https://alldimensions.fandom.com/wiki/The_Universe_Weaver,"{""The Universe Weaver"": 1}",1
36598,126,The Devil,10,19,internal,https://alldimensions.fandom.com/wiki/The_Devil,"{""The Devil"": 1}",1
