article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
30159,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/a7/Goo.jpg/revision/latest?cb=20200625021544,"{""\n\n"": 1}",1
30159,1,Megaverse,40,49,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverse"": 1}",1
30159,1,Blueprint Particle,57,75,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
30159,1,T H E W H A T,79,92,internal,https://alldimensions.fandom.com/wiki/T_H_E_W_H_A_T,"{""T H E W H A T"": 1}",1
30159,1,R E S T A U R A N T,166,185,internal,https://alldimensions.fandom.com/wiki/R_E_S_T_A_U_R_A_N_T,"{""R E S T A U R A N T"": 1}",1
30159,1,T H E W H A T,79,92,internal,https://alldimensions.fandom.com/wiki/T_H_E_W_H_A_T,"{""T H E W H A T"": 1}",1
30159,1,Megaverses,350,360,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverses"": 1}",1
30159,1,Blueprint Particles,372,391,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
30159,1,W H A Ts.,396,405,internal,https://alldimensions.fandom.com/wiki/T_H_E_W_H_A_T,"{""W H A Ts."": 1}",1
30159,2,T H E W H A T,29,42,internal,https://alldimensions.fandom.com/wiki/T_H_E_W_H_A_T,"{""T H E W H A T"": 1}",1
30159,2,R E S T A U R A N T,229,248,internal,https://alldimensions.fandom.com/wiki/R_E_S_T_A_U_R_A_N_T,"{""R E S T A U R A N T"": 1}",1
30159,3,Great Borger,32,44,internal,https://alldimensions.fandom.com/wiki/Great_Borger,"{""Great Borger"": 1}",1
