article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48925,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/e/ea/Sal_ul_new.png/revision/latest?cb=20250503190515,"{""\n\n"": 1}",1
48925,2,race,62,66,internal,https://alldimensions.fandom.com/wiki/Category:Species,"{""race"": 1}",1
48925,2,Bood-Karr-Vav,112,125,internal,https://alldimensions.fandom.com/wiki/BOOD-KARR-VAV,"{""Bood-Karr-Vav"": 1}",1
48925,2,Puffish,262,269,internal,https://alldimensions.fandom.com/wiki/Puffish,"{""Puffish"": 1}",1
48925,2,8 DIVINE GODS,339,352,internal,https://alldimensions.fandom.com/wiki/THE_8_DIVINE_GODS,"{""8 DIVINE GODS"": 1}",1
48925,3,solar system,40,52,internal,https://alldimensions.fandom.com/wiki/Solar_System,"{""solar system"": 1}",1
48925,6,Zoid,217,221,internal,https://alldimensions.fandom.com/wiki/Zoid,"{""Zoid"": 1}",1
48925,6,planet,245,251,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planet"": 1}",1
48925,6,Earth,257,262,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
48925,8,Bood-Voov-Vav,173,186,internal,https://alldimensions.fandom.com/wiki/BOOD-VOOD-VAV,"{""Bood-Voov-Vav"": 1}",1
48925,8,rule,318,322,internal,https://alldimensions.fandom.com/wiki/Category:Rulers,"{""rule"": 1}",1
48925,8,OYC,362,365,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
