article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34833,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c8/Scal.png/revision/latest?cb=20200727194013,"{""\n\n"": 1}",1
34833,1,Terrariaverse,85,98,internal,https://alldimensions.fandom.com/wiki/Terrariaverse,"{""Terrariaverse"": 1}",1
34833,1,Vsaue,151,156,internal,https://alldimensions.fandom.com/wiki/Vsaue,"{""Vsaue"": 1}",1
34833,1,"Supreme Witch, Calamitas",314,338,internal,"https://alldimensions.fandom.com/wiki/Supreme_Witch,_Calamitas","{""Supreme Witch, Calamitas"": 1}",1
34833,2,cosmic entity,32,45,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""cosmic entity"": 1}",1
34833,2,Bean Man,97,105,internal,https://alldimensions.fandom.com/wiki/Bean_Man,"{""Bean Man"": 1}",1
34833,3,Vsaues,55,61,internal,https://alldimensions.fandom.com/wiki/Vsaue,"{""Vsaues"": 1}",1
34833,3,gods,383,387,internal,https://alldimensions.fandom.com/wiki/Category:God,"{""gods"": 1}",1
34833,4,Motherfricc'ers,65,80,internal,https://alldimensions.fandom.com/wiki/Motherfricc%27ers,"{""Motherfricc'ers"": 1}",1
34833,4,planet,316,322,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planet"": 1}",1
34833,4,OYC,337,340,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
34833,4,civilizations,445,458,internal,https://alldimensions.fandom.com/wiki/Category:Civilization,"{""civilizations"": 1}",1
