article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22665,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/8e/Shadow.png/revision/latest?cb=20241129042504,"{""\n\n"": 1}",1
22665,1,Room,34,38,internal,https://alldimensions.fandom.com/wiki/The_Room,"{""Room"": 1}",1
22665,1,Table,72,77,internal,https://alldimensions.fandom.com/wiki/The_Table,"{""Table"": 1}",1
22665,1,Primordialverse,166,181,internal,https://alldimensions.fandom.com/wiki/Primordialverse,"{""Primordialverse"": 1}",1
22665,1,Primordium Delta,280,296,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
22665,1,Pencil Language,392,407,internal,https://alldimensions.fandom.com/wiki/The_Pencil_Language,"{""Pencil Language"": 1}",1
22665,1,Vood'Em,426,433,internal,https://alldimensions.fandom.com/wiki/Vood%27Em,"{""Vood'Em"": 1}",1
22665,1,BEYOND HELL,466,477,internal,https://alldimensions.fandom.com/wiki/BEYOND_HELL,"{""BEYOND HELL"": 1}",1
22665,1,Table,72,77,internal,https://alldimensions.fandom.com/wiki/The_Table,"{""Table"": 1}",1
22665,1,Primordium Delta,280,296,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
