article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
44659,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/d4/Thetheultras.png/revision/latest?cb=20250829231132,"{""\n\n"": 1}",1
44659,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/14/Habadon.png.png/revision/latest?cb=20250830115719,"{""\n\n"": 1}",1
44659,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/92/THEnew.png.png/revision/latest?cb=20250830114852,"{""\n\n"": 1}",1
44659,1,EUSI,185,189,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
44659,1,Finality Index,218,232,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
44659,1,FOEI,261,265,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
44659,1,Chungusverse,695,707,internal,https://alldimensions.fandom.com/wiki/Chungusverse,"{""Chungusverse"": 1}",1
44659,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/78/Luxaverse.png/revision/latest?cb=20231228005957,"{""\n\n"": 1}",1
44659,8,genuine forever,408,423,internal,https://alldimensions.fandom.com/wiki/Genuine_Forever,"{""genuine forever"": 1}",1
44659,9,chungusverse,117,129,internal,https://alldimensions.fandom.com/wiki/Chungusverse,"{""chungusverse"": 1}",1
44659,10,Existence Rank.,535,550,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank."": 1}",1
44659,11,"Genuine Forever,",495,511,internal,https://alldimensions.fandom.com/wiki/Genuine_Forever,"{""Genuine Forever,"": 1}",1
44659,13,Blueprint Particle,869,887,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
44659,14,[1],451,454,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
44659,14,Something Higher,505,521,internal,https://alldimensions.fandom.com/wiki/Something_Higher,"{""Something Higher"": 1}",1
44659,14,Leftunknown's Axioms of Reality,526,557,internal,https://alldimensions.fandom.com/wiki/Leftunknown%27s_Axioms_of_Reality,"{""Leftunknown's Axioms of Reality"": 1}",1
44659,17,[2],784,787,anchor,https://alldimensions.fandom.com#cite_note-2,"{""[2]"": 1}",1
44659,21,[3],1169,1172,anchor,https://alldimensions.fandom.com#cite_note-3,"{""[3]"": 1}",1
44659,21,something higher.,1457,1474,internal,https://alldimensions.fandom.com/wiki/Something_Higher,"{""something higher."": 1}",1
44659,23,[4],28,31,anchor,https://alldimensions.fandom.com#cite_note-4,"{""[4]"": 1}",1
44659,28,[5],169,172,anchor,https://alldimensions.fandom.com#cite_note-5,"{""[5]"": 1}",1
