article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38928,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/58/%28null%29.png/revision/latest?cb=20210703133016,"{""\n\n"": 1}",1
38928,1,-1 (⎊ Null class ⎊),294,313,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy#.E2.8E.8A_Null_class_.28-1.29_.E2.8E.8A,"{""-1 (⎊ Null class ⎊)"": 1}",1
38928,1,·s,358,360,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·s"": 1}",1
38928,1,⬤s,362,364,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤s"": 1}",1
38928,1,Xeyons,366,372,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyons"": 1}",1
38928,1,esrevinUs,419,428,internal,https://alldimensions.fandom.com/wiki/EsrevinU,"{""esrevinUs"": 1}",1
38928,3,·,291,292,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38928,3,Xeyon,314,319,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
38928,4,Box,253,256,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Box"": 1}",1
38928,4,Omniverse,277,286,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
38928,5,Xeyons,237,243,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyons"": 1}",1
38928,6,Blueprint Particles,107,126,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particles,"{""Blueprint Particles"": 1}",1
38928,7,Forcer,221,227,internal,https://alldimensions.fandom.com/wiki/The_Forcers,"{""Forcer"": 1}",1
38928,8,OYC,66,69,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
38928,9,Absolutely tinier particles,0,27,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Absolutely tinier particles"": 1}",1
38928,9,Zyoron,31,37,internal,https://alldimensions.fandom.com/wiki/Zyoron,"{""Zyoron"": 1}",1
38928,9,Xeyon,57,62,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
38928,9,·,66,67,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38928,9,Blueprint Particle,71,89,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
38928,9,Primordium Particles,93,113,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
38928,10,Absolutely Tinier Particles,0,27,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Absolutely Tinier Particles"": 1}",1
38928,10,Periodk,28,35,internal,https://alldimensions.fandom.com/wiki/User_blog:Googleaarex/Periodk,"{""Periodk"": 1}",1
38928,10,.:,39,41,internal,https://alldimensions.fandom.com/wiki/.:,"{"".:"": 1}",1
38928,10,Mandelsok,45,54,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Mandelsok"": 1}",1
38928,10,Thingk,58,64,internal,https://alldimensions.fandom.com/wiki/Thingk,"{""Thingk"": 1}",1
38928,11,Zyoron,21,27,internal,https://alldimensions.fandom.com/wiki/Zyoron,"{""Zyoron"": 1}",1
38928,11,Voidonion,31,40,internal,https://alldimensions.fandom.com/wiki/Voidonion,"{""Voidonion"": 1}",1
38928,11,Omnipocket,44,54,internal,https://alldimensions.fandom.com/wiki/Omnipocket,"{""Omnipocket"": 1}",1
38928,11,Xeyon,100,105,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
38928,11,Protoparticle,110,123,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticle"": 1}",1
38928,12,·,17,18,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38928,12,○,23,24,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○"": 1}",1
38928,12,⬤,29,30,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
38928,12,Subexistion,34,45,internal,https://alldimensions.fandom.com/wiki/Subexistion,"{""Subexistion"": 1}",1
38928,12,Blueprint Particle,49,67,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particle"": 1}",1
38928,12,Protoverse,71,81,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverse"": 1}",1
38928,12,Primordium Particles,83,103,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
38928,17,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
38928,17,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
38928,30,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
