article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
16016,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/6e/The_box-0.png/revision/latest?cb=20170704081928,"{""\n\n"": 1}",1
16016,1,Coin,40,44,internal,https://alldimensions.fandom.com/wiki/The_Coin,"{""Coin"": 1}",1
16016,1,Coin,40,44,internal,https://alldimensions.fandom.com/wiki/The_Coin,"{""Coin"": 1}",1
16016,1,U n i v e r s e s,125,142,internal,https://alldimensions.fandom.com/wiki/V_e_r_s_e_s,"{""U n i v e r s e s"": 1}",1
16016,1,Oceans,144,150,internal,https://alldimensions.fandom.com/wiki/The_Ocean,"{""Oceans"": 1}",1
16016,1,Coins,162,167,internal,https://alldimensions.fandom.com/wiki/The_Coin,"{""Coins"": 1}",1
16016,1,the Wallet,169,179,internal,https://alldimensions.fandom.com/wiki/The_Wallet,"{""the Wallet"": 1}",1
16016,1,verses,197,203,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
16016,1,the Coins,221,230,internal,https://alldimensions.fandom.com/wiki/The_Coin,"{""the Coins"": 1}",1
16016,1,Wallet,173,179,internal,https://alldimensions.fandom.com/wiki/The_Wallet,"{""Wallet"": 1}",1
16016,1,Boxes,290,295,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
16016,1,time,423,427,internal,https://alldimensions.fandom.com/wiki/Time,"{""time"": 1}",1
