article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
50039,2,Boxes,53,58,internal,https://alldimensions.fandom.com/wiki/Category:Box,"{""Boxes"": 1}",1
50039,4,ℂ,0,1,internal,https://alldimensions.fandom.com/wiki/Imaginarium,"{""ℂ"": 1}",1
50039,5,The Other Box,0,13,internal,https://alldimensions.fandom.com/wiki/The_Other_Box,"{""The Other Box"": 1}",1
50039,7,The Final Box,0,13,internal,https://alldimensions.fandom.com/wiki/The_Final_Box,"{""The Final Box"": 1}",1
50039,8,The Uber Box,0,12,internal,https://alldimensions.fandom.com/wiki/The_Uber_Box,"{""The Uber Box"": 1}",1
50039,9,The Final True Box,0,18,internal,https://alldimensions.fandom.com/wiki/User_blog:Wev4tw434q/The_Final_True_Box,"{""The Final True Box"": 1}",1
50039,10,THE BOX,0,7,internal,https://alldimensions.fandom.com/wiki/THE_BOX,"{""THE BOX"": 1}",1
50039,12,Xoꓭ ǝʜT,0,7,internal,https://alldimensions.fandom.com/wiki/Xo%EA%93%AD_%C7%9D%CA%9CT,"{""Xoꓭ ǝʜT"": 1}",1
50039,13,Anti-Box,0,8,internal,https://alldimensions.fandom.com/wiki/Anti-Box,"{""Anti-Box"": 1}",1
50039,14,The Box,34,41,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
50039,15,The Box,30,37,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
50039,20,The Extended Hierarchy,19,41,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""The Extended Hierarchy"": 1}",1
50039,20,The Post-Hierarchy,45,63,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""The Post-Hierarchy"": 1}",1
50039,23,The Extended Post-Hierarchy,49,76,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""The Extended Post-Hierarchy"": 1}",1
50039,27,The Meta-Hierarchy,30,48,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""The Meta-Hierarchy"": 1}",1
50039,27,The Extended Meta Hierarchy,52,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Meta_Hierarchy,"{""The Extended Meta Hierarchy"": 1}",1
50039,29,The Xeno Hierarchy,30,48,internal,https://alldimensions.fandom.com/wiki/The_Xeno_Hierarchy,"{""The Xeno Hierarchy"": 1}",1
