article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
30620,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/76/Screen_Shot_2020-06-03_at_10.34.30_AM.png/revision/latest?cb=20200603173513,"{""\n\n"": 1}",1
30620,1,Alphasm,67,74,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
30620,1,3rd Realm,82,91,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""3rd Realm"": 1}",1
30620,1,Alphasm,67,74,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
30620,1,Dunkey Kong,223,234,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong,"{""Dunkey Kong"": 1}",1
30620,1,being,307,312,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""being"": 1}",1
30620,1,gods,348,352,internal,https://alldimensions.fandom.com/wiki/Category:God,"{""gods"": 1}",1
30620,1,Alphasms,358,366,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasms"": 1}",1
30620,1,Dunkey Kong,223,234,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong.,"{""Dunkey Kong"": 1}",1
30620,1,Realms,254,260,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realms"": 1}",1
30620,2,cosmic Zaaaaaaaap,25,42,internal,https://alldimensions.fandom.com/wiki/Cosmic_Zaaaaaaaap,"{""cosmic Zaaaaaaaap"": 1}",1
30620,4,wormholes,64,73,internal,https://alldimensions.fandom.com/wiki/Wormhole,"{""wormholes"": 1}",1
30620,6,Seeker,105,111,internal,https://alldimensions.fandom.com/wiki/The_Seeker,"{""Seeker"": 1}",1
30620,6,Unexistence,284,295,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistence"": 1}",1
30620,7,verse,64,69,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
30620,8,physical matter,208,223,internal,https://alldimensions.fandom.com/wiki/Matter,"{""physical matter"": 1}",1
30620,8,repulsive matter,254,270,internal,https://alldimensions.fandom.com/wiki/Repulsive_matter,"{""repulsive matter"": 1}",1
30620,9,Omni-God,371,379,internal,https://alldimensions.fandom.com/wiki/Omni-God,"{""Omni-God"": 1}",1
30620,13,a secure place,252,266,internal,https://alldimensions.fandom.com/wiki/The_Insanity,"{""a secure place"": 1}",1
30620,15,Chaos,277,282,internal,https://alldimensions.fandom.com/wiki/Chaos,"{""Chaos"": 1}",1
30620,15,Hyper Nightmare,288,303,internal,https://alldimensions.fandom.com/wiki/The_Hyper_Nightmare,"{""Hyper Nightmare"": 1}",1
30620,15,Destroyer,309,318,internal,https://alldimensions.fandom.com/wiki/The_Destroyer,"{""Destroyer"": 1}",1
30620,16,16th-class,317,327,internal,https://alldimensions.fandom.com/wiki/Category:16th-class,"{""16th-class"": 1}",1
30620,18,Chaos,0,5,internal,https://alldimensions.fandom.com/wiki/Chaos,"{""Chaos"": 1}",1
30620,18,Gerald,253,259,internal,https://alldimensions.fandom.com/wiki/Gerald,"{""Gerald"": 1}",1
30620,18,Nacker,273,279,internal,https://alldimensions.fandom.com/wiki/Chaos,"{""Nacker"": 1}",1
30620,18,Bongus,281,287,internal,https://alldimensions.fandom.com/wiki/Bongus,"{""Bongus"": 1}",1
30620,19,nowhere,267,274,internal,https://alldimensions.fandom.com/wiki/Thingk,"{""nowhere"": 1}",1
