article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
46092,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/19/Factorials_Chain.png/revision/latest?cb=20240527061029,"{""\n\n"": 1}",1
46092,1,!̶,197,199,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
46092,1,EUSI,404,408,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
46092,1,Astral Projections,1076,1094,internal,https://alldimensions.fandom.com/wiki/The_Astral_Projection,"{""Astral Projections"": 1}",1
46092,1,Petultimateverses,1099,1116,internal,https://alldimensions.fandom.com/wiki/Petultimateverse,"{""Petultimateverses"": 1}",1
46092,3,class 24,32,40,internal,https://alldimensions.fandom.com/wiki/Category:24th-class,"{""class 24"": 1}",1
46092,3,chain,41,46,internal,https://alldimensions.fandom.com/wiki/Category:Chain,"{""chain"": 1}",1
46092,3,!̶,167,169,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
46092,3,200,169,172,external,https://googology.fandom.com/wiki/Faxul,"{""200"": 1}",1
46092,7,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
46092,42,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
