article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22312,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/8b/Screen_Shot_2020-05-27_at_11.02.35_AM.png/revision/latest?cb=20200527180253,"{""\n\n"": 1}",1
22312,1,14,197,199,internal,https://alldimensions.fandom.com/wiki/Category:14th-class,"{""14"": 1}",1
22312,1,Boxial,271,277,internal,https://alldimensions.fandom.com/wiki/The_Boxial,"{""Boxial"": 1}",1
22312,1,Seeker,346,352,internal,https://alldimensions.fandom.com/wiki/The_Seeker,"{""Seeker"": 1}",1
22312,2,Seeker,34,40,internal,https://alldimensions.fandom.com/wiki/The_Seeker,"{""Seeker"": 1}",1
22312,2,entity,52,58,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""entity"": 1}",1
22312,2,Boxial,114,120,internal,https://alldimensions.fandom.com/wiki/The_Boxial,"{""Boxial"": 1}",1
22312,2,verse,154,159,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
22312,2,inaccessible,173,185,internal,https://alldimensions.fandom.com/wiki/Category:Inaccessible_Verse,"{""inaccessible"": 1}",1
22312,2,Existence Ranks,256,271,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Ranks"": 1}",1
22312,3, Core of Everything,94,113,internal,https://alldimensions.fandom.com/wiki/The_Core_of_Everything,"{"" Core of Everything"": 1}",1
22312,5,Primordial,58,68,internal,https://alldimensions.fandom.com/wiki/Primordial_Particles,"{""Primordial"": 1}",1
22312,5,Particles,69,78,internal,https://alldimensions.fandom.com/wiki/Category:Particle,"{""Particles"": 1}",1
22312,5,Primordium Delta,87,103,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
22312,5,Primordium Sigma,108,124,internal,https://alldimensions.fandom.com/wiki/Primordium_Sigma,"{""Primordium Sigma"": 1}",1
22312,5,Primordium Omega,334,350,internal,https://alldimensions.fandom.com/wiki/Primordium_Omega,"{""Primordium Omega"": 1}",1
22312,6,Existence Rank,49,63,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank"": 1}",1
22312,7,Omni-Gods,143,152,internal,https://alldimensions.fandom.com/wiki/Omni-God,"{""Omni-Gods"": 1}",1
