article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45804,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/75/The_Kalagrid.png/revision/latest?cb=20240403074647,"{""\n\n"": 1}",1
45804,1,Kalanomnihedrons,74,90,internal,https://alldimensions.fandom.com/wiki/Kalanomnihedron,"{""Kalanomnihedrons"": 1}",1
45804,1,!̶,154,156,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45804,1,!̶,154,156,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45804,1,!̶,154,156,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45804,1,Kalatlanticus,335,348,internal,https://alldimensions.fandom.com/wiki/Kalatlanticus,"{""Kalatlanticus"": 1}",1
45804,1,Kalanomnihedrons,74,90,internal,https://alldimensions.fandom.com/wiki/Kalanomnihedron,"{""Kalanomnihedrons"": 1}",1
45804,3,Kalanomnihedrons,33,49,internal,https://alldimensions.fandom.com/wiki/Kalanomnihedron,"{""Kalanomnihedrons"": 1}",1
45804,8,Proto-Kalaverse,56,71,internal,https://alldimensions.fandom.com/wiki/Kalaverse,"{""Proto-Kalaverse"": 1}",1
45804,8,blueprint gene,206,220,internal,https://alldimensions.fandom.com/wiki/Blueprint_Gene,"{""blueprint gene"": 1}",1
45804,8,!̶,397,399,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45804,8,Kalanomnihedrons,641,657,internal,https://alldimensions.fandom.com/wiki/Kalanomnihedron,"{""Kalanomnihedrons"": 1}",1
45804,11,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
45804,46,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
