article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
25816,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/55/Screen_Shot_2020-04-26_at_1.08.10_PM.png/revision/latest?cb=20200426200941,"{""\n\n"": 1}",1
25816,1,a universe,224,234,internal,https://alldimensions.fandom.com/wiki/Universe,"{""a universe"": 1}",1
25816,5,Universe,38,46,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
25816,5,Ontological Museum,394,412,internal,https://alldimensions.fandom.com/wiki/Ontological_Museum,"{""Ontological Museum"": 1}",1
25816,6,Dunkey Kong,87,98,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong,"{""Dunkey Kong"": 1}",1
25816,6,Gerald,103,109,internal,https://alldimensions.fandom.com/wiki/Gerald,"{""Gerald"": 1}",1
25816,11,existence-0,87,98,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""existence-0"": 1}",1
25816,12,Infinity-Sided Die,9,27,internal,https://alldimensions.fandom.com/wiki/Infinity-Sided_Die,"{""Infinity-Sided Die"": 1}",1
25816,13,Cetaverse,28,37,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
25816,13,Alphasm,198,205,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
