article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
6786,1,da Outer Worlds,24,39,internal,https://alldimensions.fandom.com/wiki/User:Thorbrine/Da_Outer_World,"{""da Outer Worlds"": 1}",1
6786,1,"

",40,42,external,https://static.wikia.nocookie.net/alldimensions/images/1/1e/Verseverseverse.png/revision/latest?cb=20180502190441,"{""\n\n"": 1}",1
6786,1,Bloody Eyes,101,112,internal,https://alldimensions.fandom.com/wiki/The_Bloody_Eye,"{""Bloody Eyes"": 1}",1
6786,1,The Rainbow Plains,124,142,internal,https://alldimensions.fandom.com/wiki/The_Rainbow_Plain,"{""The Rainbow Plains"": 1}",1
6786,1,Goymaverse VI,144,157,internal,https://alldimensions.fandom.com/wiki/Goymaverse_VI,"{""Goymaverse VI"": 1}",1
6786,1,Metaomnidimensional Complexes,159,188,internal,https://alldimensions.fandom.com/wiki/Metaomnidimensional_Complex,"{""Metaomnidimensional Complexes"": 1}",1
6786,1,White Plains,190,202,internal,https://alldimensions.fandom.com/wiki/The_White_Plain,"{""White Plains"": 1}",1
6786,1,Rainbow Plains,128,142,internal,https://alldimensions.fandom.com/wiki/The_Rainbow_Plain,"{""Rainbow Plains"": 1}",1
6786,1,The Rainbow Plain,124,141,internal,https://alldimensions.fandom.com/wiki/The_Rainbow_Plain,"{""The Rainbow Plain"": 1}",1
6786,3,Bloody eye,97,107,internal,https://alldimensions.fandom.com/wiki/The_Bloody_Eye,"{""Bloody eye"": 1}",1
