article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40256,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/82/Thepen.png/revision/latest?cb=20211225052702,"{""\n\n"": 1}",1
40256,1,a Globe's,44,53,internal,https://alldimensions.fandom.com/wiki/The_Globe,"{""a Globe's"": 1}",1
40256,1,Globe,46,51,internal,https://alldimensions.fandom.com/wiki/The_Globe,"{""Globe"": 1}",1
40256,1,The Globe,117,126,internal,https://alldimensions.fandom.com/wiki/The_Globe,"{""The Globe"": 1}",1
40256,1,The DNAs of Darkness,164,184,internal,https://alldimensions.fandom.com/wiki/The_DNA_of_Darkness,"{""The DNAs of Darkness"": 1}",1
40256,1,The Globes,196,206,internal,https://alldimensions.fandom.com/wiki/The_Globe,"{""The Globes"": 1}",1
40256,2,Globes,46,52,internal,https://alldimensions.fandom.com/wiki/The_Globe,"{""Globes"": 1}",1
40256,2,Giganta's Class,87,102,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy#Globeverses,"{""Giganta's Class"": 1}",1
40256,2,Papers,235,241,internal,https://alldimensions.fandom.com/wiki/The_Paper,"{""Papers"": 1}",1
40256,3,voidseconds,186,197,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""voidseconds"": 1}",1
