article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
13947,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/71/PurpleMaze.jpg/revision/latest?cb=20191209224156,"{""\n\n"": 1}",1
13947,1,The Green Mazes,511,526,internal,https://alldimensions.fandom.com/wiki/The_Green_Maze,"{""The Green Mazes"": 1}",1
13947,1,The Alternates,538,552,internal,https://alldimensions.fandom.com/wiki/The_Alternate,"{""The Alternates"": 1}",1
13947,2,4th-class,65,74,internal,https://alldimensions.fandom.com/wiki/Category:4th-class,"{""4th-class"": 1}",1
13947,2,verses,75,81,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
13947,2,colored,112,119,internal,https://alldimensions.fandom.com/wiki/Category:Color,"{""colored"": 1}",1
13947,2,maze,120,124,internal,https://alldimensions.fandom.com/wiki/Category:Maze,"{""maze"": 1}",1
13947,2,existant,138,146,internal,https://alldimensions.fandom.com/wiki/The_Green_Maze,"{""existant"": 1}",1
13947,2,ones,147,151,internal,https://alldimensions.fandom.com/wiki/The_Blue_Maze,"{""ones"": 1}",1
13947,3,Alternates,83,93,internal,https://alldimensions.fandom.com/wiki/The_Alternate,"{""Alternates"": 1}",1
13947,3,purple,100,106,internal,https://alldimensions.fandom.com/wiki/Category:Purple,"{""purple"": 1}",1
13947,3,planet,228,234,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planet"": 1}",1
13947,4,entities,19,27,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""entities"": 1}",1
13947,4,the Mazes,213,222,internal,https://alldimensions.fandom.com/wiki/The_Maze,"{""the Mazes"": 1}",1
13947,4,particles,318,327,internal,https://alldimensions.fandom.com/wiki/Category:Particle,"{""particles"": 1}",1
13947,5,godlike,85,92,internal,https://alldimensions.fandom.com/wiki/Category:God,"{""godlike"": 1}",1
13947,5,nothing,246,253,internal,https://alldimensions.fandom.com/wiki/Nothing......,"{""nothing"": 1}",1
