article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
23680,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/de/The_Spaghetti_Bridge.png/revision/latest?cb=20211216165151,"{""\n\n"": 1}",1
23680,1,The Never-Ending Void of Darkness,118,151,internal,https://alldimensions.fandom.com/wiki/The_Never-Ending_Void_of_Darkness,"{""The Never-Ending Void of Darkness"": 1}",1
23680,1,Cetaverse,153,162,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
23680,2,The Inaccessibleverse,89,110,internal,https://alldimensions.fandom.com/wiki/The_Inaccessibleverse,"{""The Inaccessibleverse"": 1}",1
23680,4,Megaverse,47,56,internal,https://alldimensions.fandom.com/wiki/Megaverse,"{""Megaverse"": 1}",1
23680,4,The Box,209,216,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
23680,4,Cetaverse,237,246,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
23680,4,Mandelbrotverse,311,326,internal,https://alldimensions.fandom.com/wiki/Mandelbrotverse,"{""Mandelbrotverse"": 1}",1
23680,4,The Box,209,216,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
23680,4,Mandelbrotverse,311,326,internal,https://alldimensions.fandom.com/wiki/Mandelbrotverse,"{""Mandelbrotverse"": 1}",1
23680,5,Mandelbrotverse,79,94,internal,https://alldimensions.fandom.com/wiki/Mandelbrotverse,"{""Mandelbrotverse"": 1}",1
23680,5,Mandelbrotverse,79,94,internal,https://alldimensions.fandom.com/wiki/Mandelbrotverse,"{""Mandelbrotverse"": 1}",1
23680,7,User:08dravennew,46,62,internal,https://alldimensions.fandom.com/wiki/User:08dravennew,"{""User:08dravennew"": 1}",1
