article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
26769,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/97/Screen_Shot_2020-05-02_at_9.55.20_AM.png/revision/latest?cb=20200502165539,"{""\n\n"": 1}",1
26769,1,Omniverse,196,205,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
26769,1,The mines of slavery,270,290,internal,https://alldimensions.fandom.com/wiki/The_mines_of_slavery,"{""The mines of slavery"": 1}",1
26769,2,Dunkey Kong,126,137,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong.,"{""Dunkey Kong"": 1}",1
26769,3,The Core of Everything,90,112,internal,https://alldimensions.fandom.com/wiki/The_Core_of_Everything,"{""The Core of Everything"": 1}",1
26769,3,Gerald,119,125,internal,https://alldimensions.fandom.com/wiki/Gerald,"{""Gerald"": 1}",1
26769,3,Jartos,263,269,internal,https://alldimensions.fandom.com/wiki/Jartos,"{""Jartos"": 1}",1
26769,3,👁,381,382,internal,https://alldimensions.fandom.com/wiki/%F0%9F%91%81_the_slapper,"{""👁"": 1}",1
26769,4,Omniverse,73,82,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
26769,4,Audaverse,130,139,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses#Audaverse,"{""Audaverse"": 1}",1
26769,10,OYC,86,89,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
26769,11,OYC,8,11,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
26769,11,Unexistence,150,161,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistence"": 1}",1
26769,11,Omni-gods,173,182,internal,https://alldimensions.fandom.com/wiki/Omni-God,"{""Omni-gods"": 1}",1
26769,12,OYC,81,84,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
