article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
35215,1,Froot trees,28,39,internal,https://alldimensions.fandom.com/wiki/Froot_tree,"{""Froot trees"": 1}",1
35215,1,Great Trees,47,58,internal,https://alldimensions.fandom.com/wiki/The_Great_Tree,"{""Great Trees"": 1}",1
35215,1,"

",59,61,external,https://static.wikia.nocookie.net/alldimensions/images/e/e5/UltimaTree.png/revision/latest?cb=20211216164216,"{""\n\n"": 1}",1
35215,1,Branches,225,233,internal,https://alldimensions.fandom.com/wiki/The_Branch,"{""Branches"": 1}",1
35215,1,The Forests,307,318,internal,https://alldimensions.fandom.com/wiki/The_Forest,"{""The Forests"": 1}",1
35215,1,The Branches,330,342,internal,https://alldimensions.fandom.com/wiki/The_Branch,"{""The Branches"": 1}",1
35215,1,Sap,361,364,internal,https://alldimensions.fandom.com/wiki/The_Sap,"{""Sap"": 1}",1
35215,1,First Realms,437,449,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""First Realms"": 1}",1
35215,2,Primordium Particles,94,114,internal,https://alldimensions.fandom.com/wiki/Primordium_Particles,"{""Primordium Particles"": 1}",1
35215,3,Second Realms,223,236,internal,https://alldimensions.fandom.com/wiki/The_Second_Realm,"{""Second Realms"": 1}",1
35215,4,Everything Layers,102,119,internal,https://alldimensions.fandom.com/wiki/Everything_Layer,"{""Everything Layers"": 1}",1
35215,5,verses,15,21,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
35215,5,organisms,283,292,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""organisms"": 1}",1
35215,5,fruits,327,333,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_Food,"{""fruits"": 1}",1
35215,5,sap,407,410,internal,https://alldimensions.fandom.com/wiki/The_Sap,"{""sap"": 1}",1
